"計測日時","品番","拠点所番地","在庫数（箱）","入庫数（箱）","出庫数（箱）"
"2023/11/22 00:00:00","019120LC030    ","30113","18","0","1"
"2023/11/22 00:00:00","019120LC050    ","20115","5","0","0"
"2023/11/22 00:00:00","019120LC060    ","30116","11","0","1"
"2023/11/22 00:00:00","019120LC070    ","20117","11","0","0"
"2023/11/22 00:00:00","019128GA010    ","50460","14","1","1"
"2023/11/22 00:00:00","01912ECB010    ","30464","5","3","0"
"2023/11/22 00:00:00","01912ECB040    ","50491","15","0","1"
"2023/11/22 00:00:00","01912ECB060    ","20459","2","0","0"
"2023/11/22 00:00:00","01912TFA050    ","10118","13","0","0"
"2023/11/22 00:00:00","0355045013U    ","10111","3","0","0"
"2023/11/22 00:00:00","0355141009R    ","10014","2","0","0"
"2023/11/22 00:00:00","0355183043P    ","20106","2","0","0"
"2023/11/22 00:00:00","1040043104R    ","10530","6","0","0"
"2023/11/22 00:00:00","1040052001Z    ","10017","3","1","0"
"2023/11/22 00:00:00","1040052001Z    ","10373","6","1","0"
"2023/11/22 00:00:00","1040052103H    ","20112","5","0","0"
"2023/11/22 00:00:00","1040183004C    ","20086","4","0","0"
"2023/11/22 00:00:00","1040183011P    ","20655","3","1","0"
"2023/11/22 00:00:00","1040183017V    ","20088","3","0","0"
"2023/11/22 00:00:00","2030044001J    ","10412","2","0","0"
"2023/11/22 00:00:00","2030045013L    ","20442","","",""
"2023/11/22 00:00:00","2030052002N    ","20363","4","0","1"
"2023/11/22 00:00:00","2030113004A    ","10099","3","0","0"
"2023/11/22 00:00:00","2030183013A    ","10087","3","1","0"
"2023/11/22 00:00:00","3040040039Y    ","10098","3","0","0"
"2023/11/22 00:00:00","3040052001B    ","20379","3","2","1"
"2023/11/22 00:00:00","3040052001B    ","20506","4","0","0"
"2023/11/22 00:00:00","3040141002R    ","10507","3","0","0"
"2023/11/22 00:00:00","321110LC010    ","40081","73","0","5"
"2023/11/22 00:00:00","333560LC020    ","30043","10","0","0"
"2023/11/22 00:00:00","33490ECB010    ","30439","94","54","6"
"2023/11/22 00:00:00","33490ECE010    ","30440","81","0","6"
"2023/11/22 00:00:00","34989ECB010    ","10394","1","0","0"
"2023/11/22 00:00:00","34989ECB020    ","10397","6","0","0"
"2023/11/22 00:00:00","34989ECB030    ","10398","4","0","0"
"2023/11/22 00:00:00","34989ECC010    ","10399","2","0","0"
"2023/11/22 00:00:00","34989ECE010    ","10395","6","0","0"
"2023/11/22 00:00:00","34989ECE020    ","10396","2","0","0"
"2023/11/22 00:00:00","34989ECE030    ","10505","1","0","0"
"2023/11/22 00:00:00","34989ECE040    ","10521","1","0","0"
"2023/11/22 00:00:00","350610LC010    ","40030","206","16","16"
"2023/11/22 00:00:00","350710LC010    ","30069","75","0","12"
"2023/11/22 00:00:00","35080ECB010    ","30476","","",""
"2023/11/22 00:00:00","35080ECE010    ","30472","","",""
"2023/11/22 00:00:00","35080ECE020    ","30473","","",""
"2023/11/22 00:00:00","351060LC040    ","50107","26","0","2"
"2023/11/22 00:00:00","351190LC010    ","50079","26","0","2"
"2023/11/22 00:00:00","35141ECB010    ","98004","15","2","0"
"2023/11/22 00:00:00","35141ECE010    ","98006","23","2","2"
"2023/11/22 00:00:00","35145ECB010    ","10447","8","0","0"
"2023/11/22 00:00:00","35145ECE010    ","10449","7","0","1"
"2023/11/22 00:00:00","35145ECE020    ","10494","5","0","0"
"2023/11/22 00:00:00","35165ECE010    ","10492","4","0","0"
"2023/11/22 00:00:00","351680LC030    ","50108","28","0","1"
"2023/11/22 00:00:00","351710LC010    ","30072","65","1","6"
"2023/11/22 00:00:00","351720LC010    ","10080","11","0","0"
"2023/11/22 00:00:00","35174ECB010    ","30391","14","4","0"
"2023/11/22 00:00:00","35174ECE010    ","30392","17","3","0"
"2023/11/22 00:00:00","35174ECE020    ","20393","8","3","1"
"2023/11/22 00:00:00","3519510A010    ","10479","3","0","0"
"2023/11/22 00:00:00","35195ECE010    ","10450","7","0","1"
"2023/11/22 00:00:00","35195TFG010    ","10448","5","0","0"
"2023/11/22 00:00:00","351980LC020    ","20010","10","2","0"
"2023/11/22 00:00:00","351980LC030    ","20011","19","0","0"
"2023/11/22 00:00:00","351980LC040    ","20012","8","0","0"
"2023/11/22 00:00:00","351988LA010    ","20508","7","2","0"
"2023/11/22 00:00:00","35198ECE010    ","20434","5","3","0"
"2023/11/22 00:00:00","352400LC020    ","40105","12","0","0"
"2023/11/22 00:00:00","352450LC010    ","10097","8","0","0"
"2023/11/22 00:00:00","35246TFG010    ","10093","","",""
"2023/11/22 00:00:00","35275TBG010    ","10101","7","0","0"
"2023/11/22 00:00:00","352800LA010    ","40091","18","0","1"
"2023/11/22 00:00:00","35300ECB010    ","40428","42","0","4"
"2023/11/22 00:00:00","35312ECB010    ","20359","12","0","1"
"2023/11/22 00:00:00","35352ECB010    ","20444","2","0","0"
"2023/11/22 00:00:00","3539450A010    ","20109","2","0","1"
"2023/11/22 00:00:00","3539450A010    ","20441","1","0","0"
"2023/11/22 00:00:00","35409ECB010    ","10437","6","2","0"
"2023/11/22 00:00:00","354110LC030    ","30096","72","0","6"
"2023/11/22 00:00:00","35419TRA010    ","10089","6","0","0"
"2023/11/22 00:00:00","354210LC040    ","10094","7","0","1"
"2023/11/22 00:00:00","354260LC010    ","30036","51","0","2"
"2023/11/22 00:00:00","354320LC040    ","10104","10","0","0"
"2023/11/22 00:00:00","35441ECB010    ","20141","17","0","1"
"2023/11/22 00:00:00","35441TFA010    ","20140","4","0","0"
"2023/11/22 00:00:00","354710LC010    ","30103","17","0","1"
"2023/11/22 00:00:00","354820LC010    ","10085","6","1","0"
"2023/11/22 00:00:00","3548255A010    ","10433","3","2","0"
"2023/11/22 00:00:00","35482TFA010    ","10429","2","1","0"
"2023/11/22 00:00:00","35501ECB010    ","20469","8","4","0"
"2023/11/22 00:00:00","35505ECB010    ","10478","12","0","1"
"2023/11/22 00:00:00","35556ECB010    ","10126","7","0","0"
"2023/11/22 00:00:00","35557ECB010    ","10456","11","5","1"
"2023/11/22 00:00:00","35580ECB011    ","50501","49","0","4"
"2023/11/22 00:00:00","35595ECB010    ","20432","14","11","0"
"2023/11/22 00:00:00","3559850A010    ","10421","2","0","0"
"2023/11/22 00:00:00","356030LC020    ","30039","9","0","0"
"2023/11/22 00:00:00","356170LC060    ","10025","8","0","0"
"2023/11/22 00:00:00","356340LC020    ","30044","13","0","0"
"2023/11/22 00:00:00","356340LC030    ","30045","4","0","0"
"2023/11/22 00:00:00","356680LC020    ","30040","17","0","0"
"2023/11/22 00:00:00","356790LC030    ","20050","28","0","0"
"2023/11/22 00:00:00","356790LC040    ","20051","33","0","0"
"2023/11/22 00:00:00","356790LC050    ","20052","25","0","0"
"2023/11/22 00:00:00","356790LC060    ","20053","70","0","1"
"2023/11/22 00:00:00","356790LC070    ","20054","11","0","0"
"2023/11/22 00:00:00","357710LC030    ","30026","65","0","4"
"2023/11/22 00:00:00","35771ECB010    ","40426","31","0","6"
"2023/11/22 00:00:00","35771ECE010    ","40427","49","0","4"
"2023/11/22 00:00:00","35782ECB010    ","20475","","",""
"2023/11/22 00:00:00","35782ECE020    ","20471","","",""
"2023/11/22 00:00:00","35782ECE030    ","20504","","",""
"2023/11/22 00:00:00","357890LC160    ","40022","3","0","0"
"2023/11/22 00:00:00","357890LC170    ","10067","4","0","0"
"2023/11/22 00:00:00","357890LC180    ","10070","5","0","0"
"2023/11/22 00:00:00","35847ECB010    ","30354","5","0","0"
"2023/11/22 00:00:00","35847ECB020    ","30355","7","0","0"
"2023/11/22 00:00:00","35847ECE010    ","30357","21","0","0"
"2023/11/22 00:00:00","35847ECE020    ","30358","15","0","0"
"2023/11/22 00:00:00","35882ECB010    ","30356","9","0","0"
"2023/11/22 00:00:00","358830LC030    ","30046","12","0","0"
"2023/11/22 00:00:00","358830LC040    ","30047","7","0","0"
"2023/11/22 00:00:00","36108ECB010    ","30122","2","0","0"
"2023/11/22 00:00:00","391710LC010    ","70074","18","0","8"
"2023/11/22 00:00:00","39171ECB010    ","98003","16","5","1"
"2023/11/22 00:00:00","39171ECE010    ","98005","22","1","1"
"2023/11/22 00:00:00","41221ECB010    ","30477","","",""
"2023/11/22 00:00:00","41221ECE010    ","30474","","",""
"2023/11/22 00:00:00","41310ECB010    ","60123","69","0","12"
"2023/11/22 00:00:00","41310ECE010    ","60124","117","0","15"
"2023/11/22 00:00:00","5040043004E    ","10092","2","0","0"
"2023/11/22 00:00:00","5040056001E    ","10430","7","7","0"
"2023/11/22 00:00:00","821250LC030    ","50006","27","0","0"
"2023/11/22 00:00:00","82125ECB010    ","30487","7","0","0"
"2023/11/22 00:00:00","82125ECB020    ","50408","14","0","2"
"2023/11/22 00:00:00","82125ECC020    ","50411","22","0","0"
"2023/11/22 00:00:00","82125ECE010    ","30489","9","0","1"
"2023/11/22 00:00:00","82125ECE020    ","30404","12","0","1"
"2023/11/22 00:00:00","82125ECE030    ","30405","46","0","3"
"2023/11/22 00:00:00","82125ECE040    ","30510","4","0","0"
"2023/11/22 00:00:00","828210LC020    ","30119","10","0","1"
"2023/11/22 00:00:00","82821CWA030    ","30462","4","2","0"
"2023/11/22 00:00:00","82821ECB010    ","30463","3","1","0"
"2023/11/22 00:00:00","82821ECB020    ","10458","9","1","0"
"2023/11/22 00:00:00","82821ECB040    ","50465","3","1","0"
"2023/11/22 00:00:00","82821ECB050    ","30466","10","5","0"
"2023/11/22 00:00:00","82821ECE010    ","30467","17","6","0"
"2023/11/22 00:00:00","82821XAE010    ","10461","15","6","1"
"2023/11/22 00:00:00","82821XAE020    ","30457","3","1","0"
"2023/11/22 00:00:00","82824ECB010    ","20486","16","13","1"
"2023/11/22 00:00:00","82824ECB020    ","20490","31","24","2"
"2023/11/22 00:00:00","82824ECE010    ","30455","18","0","0"
"2023/11/22 00:00:00","9010506A003    ","20366","","",""
"2023/11/22 00:00:00","9010506A089    ","20387","5","0","0"
"2023/11/22 00:00:00","9010508A014    ","20073","24","5","2"
"2023/11/22 00:00:00","9010508A014    ","20380","40","20","4"
