"計測日時","品番","拠点所番地","在庫数（箱）","入庫数（箱）","出庫数（箱）"
"2023/10/11 00:00:00","019120LC030    ","30113","11","0","0"
"2023/10/11 00:00:00","019120LC050    ","20115","6","0","0"
"2023/10/11 00:00:00","019120LC060    ","30116","8","1","0"
"2023/10/11 00:00:00","019120LC070    ","20117","7","1","0"
"2023/10/11 00:00:00","019128GA010    ","50460","47","0","1"
"2023/10/11 00:00:00","01912ECB010    ","30464","14","0","1"
"2023/10/11 00:00:00","01912ECB040    ","50491","31","0","1"
"2023/10/11 00:00:00","01912ECB060    ","20459","1","0","0"
"2023/10/11 00:00:00","01912TFA050    ","10118","6","1","0"
"2023/10/11 00:00:00","0355045013U    ","10111","2","0","0"
"2023/10/11 00:00:00","0355052005L    ","20015","2","0","0"
"2023/10/11 00:00:00","0355113017A    ","10001","","",""
"2023/10/11 00:00:00","0355141009R    ","10014","2","0","0"
"2023/10/11 00:00:00","0355183043P    ","20106","3","0","0"
"2023/10/11 00:00:00","1040043104R    ","10127","4","1","0"
"2023/10/11 00:00:00","1040052001Z    ","10017","1","0","1"
"2023/10/11 00:00:00","1040052001Z    ","10373","5","0","0"
"2023/10/11 00:00:00","1040052103H    ","20112","4","1","0"
"2023/10/11 00:00:00","1040183004C    ","20086","1","0","0"
"2023/10/11 00:00:00","1040183011P    ","20369","1","0","0"
"2023/10/11 00:00:00","1040183017V    ","20088","2","0","0"
"2023/10/11 00:00:00","2030044001J    ","10412","2","0","0"
"2023/10/11 00:00:00","2030045013L    ","20442","4","1","0"
"2023/10/11 00:00:00","2030052002N    ","20363","6","0","0"
"2023/10/11 00:00:00","2030113004A    ","10099","3","0","0"
"2023/10/11 00:00:00","2030183013A    ","10087","2","0","1"
"2023/10/11 00:00:00","3040040039Y    ","10098","3","0","0"
"2023/10/11 00:00:00","3040052001B    ","20379","3","0","0"
"2023/10/11 00:00:00","3040052001B    ","20506","3","0","0"
"2023/10/11 00:00:00","3040141002R    ","10507","2","0","0"
"2023/10/11 00:00:00","321110LC010    ","40081","58","0","3"
"2023/10/11 00:00:00","333560LC020    ","30043","3","0","1"
"2023/10/11 00:00:00","33490ECB010    ","30439","34","0","3"
"2023/10/11 00:00:00","33490ECE010    ","30440","104","0","3"
"2023/10/11 00:00:00","34989ECB010    ","10394","2","0","0"
"2023/10/11 00:00:00","34989ECB020    ","10397","4","0","1"
"2023/10/11 00:00:00","34989ECB030    ","10398","2","0","0"
"2023/10/11 00:00:00","34989ECC010    ","10399","2","0","0"
"2023/10/11 00:00:00","34989ECE010    ","10395","3","0","0"
"2023/10/11 00:00:00","34989ECE020    ","10396","2","0","0"
"2023/10/11 00:00:00","34989ECE030    ","10505","1","0","0"
"2023/10/11 00:00:00","350610LC010    ","40030","108","39","16"
"2023/10/11 00:00:00","350710LC010    ","30069","38","0","0"
"2023/10/11 00:00:00","35080ECB010    ","30476","","",""
"2023/10/11 00:00:00","35080ECE010    ","30472","3","6","4"
"2023/10/11 00:00:00","35080ECE020    ","30473","","",""
"2023/10/11 00:00:00","351060LC040    ","50107","17","17","0"
"2023/10/11 00:00:00","351190LC010    ","50079","18","18","1"
"2023/10/11 00:00:00","35141ECB010    ","98004","11","2","1"
"2023/10/11 00:00:00","35141ECE010    ","98006","22","0","1"
"2023/10/11 00:00:00","35145ECB010    ","10447","7","0","0"
"2023/10/11 00:00:00","35145ECE010    ","10449","7","0","0"
"2023/10/11 00:00:00","35145ECE020    ","10494","5","2","0"
"2023/10/11 00:00:00","35165ECE010    ","10492","6","3","0"
"2023/10/11 00:00:00","351680LC030    ","50108","12","0","1"
"2023/10/11 00:00:00","351710LC010    ","30072","29","0","0"
"2023/10/11 00:00:00","351720LC010    ","10080","6","0","0"
"2023/10/11 00:00:00","35174ECB010    ","30391","15","0","1"
"2023/10/11 00:00:00","35174ECE010    ","30392","16","0","0"
"2023/10/11 00:00:00","35174ECE020    ","20393","8","0","1"
"2023/10/11 00:00:00","3519510A010    ","10479","2","0","0"
"2023/10/11 00:00:00","35195ECE010    ","10450","8","0","0"
"2023/10/11 00:00:00","35195TFG010    ","10448","5","0","0"
"2023/10/11 00:00:00","351980LC020    ","20010","6","0","1"
"2023/10/11 00:00:00","351980LC030    ","20011","9","0","0"
"2023/10/11 00:00:00","351980LC040    ","20012","5","0","1"
"2023/10/11 00:00:00","351988LA010    ","20508","6","0","0"
"2023/10/11 00:00:00","35198ECE010    ","20434","7","0","0"
"2023/10/11 00:00:00","352400LC020    ","40105","7","0","0"
"2023/10/11 00:00:00","352450LC010    ","10097","6","1","0"
"2023/10/11 00:00:00","35275TBG010    ","10101","4","1","0"
"2023/10/11 00:00:00","352800LA010    ","40091","8","0","0"
"2023/10/11 00:00:00","35300ECB010    ","40428","134","0","5"
"2023/10/11 00:00:00","35312ECB010    ","20359","9","0","0"
"2023/10/11 00:00:00","35352ECB010    ","20444","3","0","0"
"2023/10/11 00:00:00","3539450A010    ","20109","3","0","0"
"2023/10/11 00:00:00","3539450A010    ","20441","3","0","0"
"2023/10/11 00:00:00","35409ECB010    ","10437","4","0","0"
"2023/10/11 00:00:00","354110LC030    ","30096","33","0","0"
"2023/10/11 00:00:00","35419TRA010    ","10089","5","0","0"
"2023/10/11 00:00:00","354210LC040    ","10094","5","1","0"
"2023/10/11 00:00:00","354260LC010    ","30036","44","0","3"
"2023/10/11 00:00:00","354320LC040    ","10104","7","1","0"
"2023/10/11 00:00:00","35441ECB010    ","20141","32","17","1"
"2023/10/11 00:00:00","35441TFA010    ","20140","7","4","0"
"2023/10/11 00:00:00","354710LC010    ","30103","10","0","0"
"2023/10/11 00:00:00","354820LC010    ","10085","4","0","0"
"2023/10/11 00:00:00","3548255A010    ","10433","3","0","1"
"2023/10/11 00:00:00","35482TFA010    ","10429","2","0","0"
"2023/10/11 00:00:00","35501ECB010    ","20469","7","0","0"
"2023/10/11 00:00:00","35505ECA010    ","7-32 ","1","0","0"
"2023/10/11 00:00:00","35505ECB010    ","10478","9","0","1"
"2023/10/11 00:00:00","35556ECB010    ","10126","4","2","0"
"2023/10/11 00:00:00","35557ECB010    ","10456","8","0","0"
"2023/10/11 00:00:00","35580ECB011    ","50501","98","0","3"
"2023/10/11 00:00:00","35595ECB010    ","20432","11","0","0"
"2023/10/11 00:00:00","3559850A010    ","10421","3","2","0"
"2023/10/11 00:00:00","356030LC020    ","30039","4","0","2"
"2023/10/11 00:00:00","356170LC060    ","10025","3","0","0"
"2023/10/11 00:00:00","356340LC020    ","30044","9","8","3"
"2023/10/11 00:00:00","356340LC030    ","30045","3","1","1"
"2023/10/11 00:00:00","356680LC020    ","30040","15","0","1"
"2023/10/11 00:00:00","356790LC010    ","20048","1","0","0"
"2023/10/11 00:00:00","356790LC020    ","20049","2","0","0"
"2023/10/11 00:00:00","356790LC030    ","20050","1","0","0"
"2023/10/11 00:00:00","356790LC040    ","20051","28","0","0"
"2023/10/11 00:00:00","356790LC050    ","20052","9","0","0"
"2023/10/11 00:00:00","356790LC060    ","20053","11","0","0"
"2023/10/11 00:00:00","35704ECA020****","30518","2","0","0"
"2023/10/11 00:00:00","35705ECA020****","30519","2","0","0"
"2023/10/11 00:00:00","3572433040     ","     ","1","0","0"
"2023/10/11 00:00:00","357710LC030    ","30026","21","26","8"
"2023/10/11 00:00:00","35771ECB010    ","40426","18","0","3"
"2023/10/11 00:00:00","35771ECE010    ","40427","50","0","2"
"2023/10/11 00:00:00","35782ECB010    ","20475","","",""
"2023/10/11 00:00:00","35782ECE020    ","20471","","",""
"2023/10/11 00:00:00","35782ECE030    ","20504","3","6","4"
"2023/10/11 00:00:00","357890LC160    ","40022","2","0","0"
"2023/10/11 00:00:00","357890LC170    ","10067","4","1","0"
"2023/10/11 00:00:00","357890LC180    ","10070","4","0","0"
"2023/10/11 00:00:00","35847ECB010    ","30354","5","0","0"
"2023/10/11 00:00:00","35847ECB020    ","30355","7","0","0"
"2023/10/11 00:00:00","35847ECE010    ","30357","18","0","0"
"2023/10/11 00:00:00","35847ECE020    ","30358","14","0","1"
"2023/10/11 00:00:00","35882ECB010    ","30356","6","0","0"
"2023/10/11 00:00:00","358830LC030    ","30046","10","5","0"
"2023/10/11 00:00:00","358830LC040    ","30047","6","2","1"
"2023/10/11 00:00:00","36108ECB010    ","30122","4","2","0"
"2023/10/11 00:00:00","391710LC010    ","70074","23","0","4"
"2023/10/11 00:00:00","39171ECB010    ","98003","11","2","1"
"2023/10/11 00:00:00","39171ECE010    ","98005","23","2","1"
"2023/10/11 00:00:00","41221ECA020****","30520","2","0","0"
"2023/10/11 00:00:00","41221ECB010    ","30477","","",""
"2023/10/11 00:00:00","41221ECE010    ","30474","","",""
"2023/10/11 00:00:00","41310ECA020    ","60511","3","0","0"
"2023/10/11 00:00:00","41310ECB010    ","60123","70","15","9"
"2023/10/11 00:00:00","41310ECE010    ","60124","206","15","15"
