"計測日時","品番","拠点所番地","在庫数（箱）","入庫数（箱）","出庫数（箱）"
"2023/11/26 00:00:00","019120LC030    ","30113","15","0","0"
"2023/11/26 00:00:00","019120LC050    ","20115","4","0","0"
"2023/11/26 00:00:00","019120LC060    ","30116","12","0","0"
"2023/11/26 00:00:00","019120LC070    ","20117","13","0","0"
"2023/11/26 00:00:00","019128GA010    ","50460","24","0","0"
"2023/11/26 00:00:00","01912ECB010    ","30464","6","0","0"
"2023/11/26 00:00:00","01912ECB040    ","50491","9","0","0"
"2023/11/26 00:00:00","01912ECB060    ","20459","1","0","0"
"2023/11/26 00:00:00","01912TFA050    ","10118","12","0","0"
"2023/11/26 00:00:00","0355045013U    ","10111","2","0","0"
"2023/11/26 00:00:00","0355052005L    ","20015","","",""
"2023/11/26 00:00:00","0355141009R    ","10014","1","0","0"
"2023/11/26 00:00:00","0355183043P    ","20106","2","0","0"
"2023/11/26 00:00:00","1040043104R    ","10530","4","0","0"
"2023/11/26 00:00:00","1040052001Z    ","10017","3","0","0"
"2023/11/26 00:00:00","1040052001Z    ","10373","4","0","0"
"2023/11/26 00:00:00","1040052103H    ","20112","6","0","0"
"2023/11/26 00:00:00","1040183004C    ","20086","4","0","0"
"2023/11/26 00:00:00","1040183011P    ","20655","2","0","0"
"2023/11/26 00:00:00","1040183017V    ","20088","4","0","0"
"2023/11/26 00:00:00","2030044001J    ","10412","1","0","0"
"2023/11/26 00:00:00","2030045013L    ","20442","","",""
"2023/11/26 00:00:00","2030052002N    ","20363","3","0","0"
"2023/11/26 00:00:00","2030113004A    ","10099","4","0","0"
"2023/11/26 00:00:00","2030183013A    ","10087","4","0","0"
"2023/11/26 00:00:00","3040040039Y    ","10098","2","0","0"
"2023/11/26 00:00:00","3040052001B    ","20379","2","0","0"
"2023/11/26 00:00:00","3040052001B    ","20506","4","0","0"
"2023/11/26 00:00:00","3040141002R    ","10507","2","0","0"
"2023/11/26 00:00:00","321110LC010    ","40081","104","0","0"
"2023/11/26 00:00:00","333560LC020    ","30043","9","0","0"
"2023/11/26 00:00:00","33490ECB010    ","30439","24","0","0"
"2023/11/26 00:00:00","33490ECE010    ","30440","93","0","0"
"2023/11/26 00:00:00","34989ECB010    ","10394","2","0","0"
"2023/11/26 00:00:00","34989ECB020    ","10397","7","0","0"
"2023/11/26 00:00:00","34989ECB030    ","10398","4","0","0"
"2023/11/26 00:00:00","34989ECC010    ","10399","1","0","0"
"2023/11/26 00:00:00","34989ECE010    ","10395","6","0","0"
"2023/11/26 00:00:00","34989ECE020    ","10396","3","0","0"
"2023/11/26 00:00:00","34989ECE030    ","10505","2","0","0"
"2023/11/26 00:00:00","34989ECE040    ","10521","1","0","0"
"2023/11/26 00:00:00","350610LC010    ","40030","245","0","0"
"2023/11/26 00:00:00","350710LC010    ","30069","111","0","0"
"2023/11/26 00:00:00","35080ECB010    ","30476","","",""
"2023/11/26 00:00:00","35080ECE010    ","30472","","",""
"2023/11/26 00:00:00","35080ECE020    ","30473","","",""
"2023/11/26 00:00:00","351060LC040    ","50107","28","0","0"
"2023/11/26 00:00:00","351190LC010    ","50079","46","0","0"
"2023/11/26 00:00:00","35141ECB010    ","98004","13","0","0"
"2023/11/26 00:00:00","35141ECE010    ","98006","26","0","0"
"2023/11/26 00:00:00","35145ECB010    ","10447","5","0","0"
"2023/11/26 00:00:00","35145ECE010    ","10449","6","0","0"
"2023/11/26 00:00:00","35145ECE020    ","10494","5","0","0"
"2023/11/26 00:00:00","35165ECE010    ","10492","3","0","0"
"2023/11/26 00:00:00","351680LC030    ","50108","31","0","0"
"2023/11/26 00:00:00","351710LC010    ","30072","95","0","0"
"2023/11/26 00:00:00","351720LC010    ","10080","10","0","0"
"2023/11/26 00:00:00","35174ECB010    ","30391","13","0","0"
"2023/11/26 00:00:00","35174ECE010    ","30392","18","0","0"
