"計測日時","品番","拠点所番地","在庫数（箱）","入庫数（箱）","出庫数（箱）"
"2023/11/08 00:00:00","019120LC030    ","30113","18","0","1"
"2023/11/08 00:00:00","019120LC050    ","20115","5","0","0"
"2023/11/08 00:00:00","019120LC060    ","30116","11","0","0"
"2023/11/08 00:00:00","019120LC070    ","20117","11","0","0"
"2023/11/08 00:00:00","019128GA010    ","50460","36","0","1"
"2023/11/08 00:00:00","01912ECB010    ","30464","12","0","1"
"2023/11/08 00:00:00","01912ECB040    ","50491","21","0","3"
"2023/11/08 00:00:00","01912ECB060    ","20459","1","0","0"
"2023/11/08 00:00:00","01912TFA050    ","10118","11","0","0"
"2023/11/08 00:00:00","0355045013U    ","10111","3","0","0"
"2023/11/08 00:00:00","0355052005L    ","20015","1","0","1"
"2023/11/08 00:00:00","0355113017A    ","10001","1","0","0"
"2023/11/08 00:00:00","0355141009R    ","10014","2","0","0"
"2023/11/08 00:00:00","0355183043P    ","20106","3","0","0"
"2023/11/08 00:00:00","1040043104R    ","10530","5","1","0"
"2023/11/08 00:00:00","1040052001Z    ","10017","1","0","0"
"2023/11/08 00:00:00","1040052001Z    ","10373","3","0","1"
"2023/11/08 00:00:00","1040052103H    ","20112","4","0","0"
"2023/11/08 00:00:00","1040183004C    ","20086","3","0","0"
"2023/11/08 00:00:00","1040183011P    ","20655","4","0","1"
"2023/11/08 00:00:00","1040183017V    ","20088","4","0","0"
"2023/11/08 00:00:00","2030044001J    ","10412","1","0","0"
"2023/11/08 00:00:00","2030045013L    ","20442","","",""
"2023/11/08 00:00:00","2030052002N    ","20363","5","0","0"
"2023/11/08 00:00:00","2030113004A    ","10099","2","0","0"
"2023/11/08 00:00:00","2030183013A    ","10087","3","0","1"
"2023/11/08 00:00:00","3040040039Y    ","10098","3","0","0"
"2023/11/08 00:00:00","3040052001B    ","20379","","",""
"2023/11/08 00:00:00","3040052001B    ","20506","4","0","0"
"2023/11/08 00:00:00","3040141002R    ","10507","2","0","1"
"2023/11/08 00:00:00","321110LC010    ","40081","90","0","3"
"2023/11/08 00:00:00","333560LC020    ","30043","9","0","1"
"2023/11/08 00:00:00","33490ECB010    ","30439","14","0","3"
"2023/11/08 00:00:00","33490ECE010    ","30440","116","35","9"
"2023/11/08 00:00:00","34989ECB010    ","10394","1","0","0"
"2023/11/08 00:00:00","34989ECB020    ","10397","6","0","0"
"2023/11/08 00:00:00","34989ECB030    ","10398","2","0","0"
"2023/11/08 00:00:00","34989ECC010    ","10399","1","0","0"
"2023/11/08 00:00:00","34989ECE010    ","10395","6","0","1"
"2023/11/08 00:00:00","34989ECE020    ","10396","2","0","0"
"2023/11/08 00:00:00","34989ECE030    ","10505","2","0","0"
