"計測日時","品番","拠点所番地","在庫数（箱）","入庫数（箱）","出庫数（箱）"
"2023/10/04 00:00:00","019120LC030    ","30113","8","0","0"
"2023/10/04 00:00:00","019120LC050    ","20115","5","0","0"
"2023/10/04 00:00:00","019120LC060    ","30116","7","0","0"
"2023/10/04 00:00:00","019120LC070    ","20117","8","0","0"
"2023/10/04 00:00:00","019128GA010    ","50460","37","0","1"
"2023/10/04 00:00:00","01912ECB010    ","30464","13","0","0"
"2023/10/04 00:00:00","01912ECB040    ","50491","31","0","1"
"2023/10/04 00:00:00","01912ECB060    ","20459","2","0","0"
"2023/10/04 00:00:00","01912TFA050    ","10118","6","0","0"
"2023/10/04 00:00:00","0355045013U    ","10111","2","0","0"
"2023/10/04 00:00:00","0355052005L    ","20015","2","0","0"
"2023/10/04 00:00:00","0355141009R    ","10014","1","0","0"
"2023/10/04 00:00:00","0355183043P    ","20106","2","0","0"
"2023/10/04 00:00:00","1040043104R    ","10127","5","2","0"
"2023/10/04 00:00:00","1040052001Z    ","10017","2","0","0"
"2023/10/04 00:00:00","1040052001Z    ","10373","2","0","0"
"2023/10/04 00:00:00","1040052103H    ","20112","3","0","0"
"2023/10/04 00:00:00","1040183004C    ","20086","1","0","0"
"2023/10/04 00:00:00","1040183011P    ","20369","2","0","0"
"2023/10/04 00:00:00","1040183017V    ","20088","1","0","0"
"2023/10/04 00:00:00","2030044001J    ","10412","1","0","0"
"2023/10/04 00:00:00","2030045013L    ","20442","4","0","0"
"2023/10/04 00:00:00","2030052002N    ","20363","3","0","1"
"2023/10/04 00:00:00","2030113004A    ","10099","2","0","0"
"2023/10/04 00:00:00","2030183013A    ","10087","2","0","0"
"2023/10/04 00:00:00","3040040039Y    ","10098","2","0","0"
"2023/10/04 00:00:00","3040052001B    ","20379","2","0","0"
"2023/10/04 00:00:00","3040052001B    ","20506","3","0","0"
"2023/10/04 00:00:00","3040141002R    ","10507","2","0","0"
"2023/10/04 00:00:00","321110LC010    ","40081","41","0","2"
"2023/10/04 00:00:00","333560LC020    ","30043","4","0","0"
"2023/10/04 00:00:00","33490ECB010    ","30439","16","0","4"
"2023/10/04 00:00:00","33490ECE010    ","30440","74","21","12"
"2023/10/04 00:00:00","34989ECB010    ","10394","1","0","0"
"2023/10/04 00:00:00","34989ECB020    ","10397","6","0","0"
"2023/10/04 00:00:00","34989ECB030    ","10398","4","0","0"
"2023/10/04 00:00:00","34989ECC010    ","10399","2","0","0"
"2023/10/04 00:00:00","34989ECE010    ","10395","2","0","0"
"2023/10/04 00:00:00","34989ECE020    ","10396","1","0","1"
"2023/10/04 00:00:00","34989ECE030    ","10505","2","0","0"
"2023/10/04 00:00:00","350610LC010    ","40030","100","0","8"
"2023/10/04 00:00:00","350710LC010    ","30069","39","0","6"
"2023/10/04 00:00:00","35080ECB010    ","30476","2","6","10"
"2023/10/04 00:00:00","35080ECE010    ","30472","3","3","4"
"2023/10/04 00:00:00","35080ECE020    ","30473","2","2","4"
"2023/10/04 00:00:00","351060LC040    ","50107","3","0","1"
"2023/10/04 00:00:00","351190LC010    ","50079","7","0","0"
"2023/10/04 00:00:00","35141ECB010    ","98004","9","0","1"
"2023/10/04 00:00:00","35141ECE010    ","98006","12","3","2"
"2023/10/04 00:00:00","35145ECB010    ","10447","7","0","0"
"2023/10/04 00:00:00","35145ECE010    ","10449","8","0","1"
"2023/10/04 00:00:00","35145ECE020    ","10494","4","0","0"
"2023/10/04 00:00:00","35165ECE010    ","10492","3","0","1"
"2023/10/04 00:00:00","351680LC030    ","50108","16","0","1"
"2023/10/04 00:00:00","351710LC010    ","30072","40","0","3"
"2023/10/04 00:00:00","351720LC010    ","10080","7","0","0"
"2023/10/04 00:00:00","35174ECB010    ","30391","9","0","1"
