"計測日時","品番","拠点所番地","在庫数（箱）","入庫数（箱）","出庫数（箱）"
"2023/12/30 00:00:00","019120LC030    ","30113","12","0","0"
"2023/12/30 00:00:00","019120LC050    ","20115","4","0","0"
"2023/12/30 00:00:00","019120LC060    ","30116","7","0","0"
"2023/12/30 00:00:00","019120LC070    ","20117","9","0","0"
"2023/12/30 00:00:00","019128GA010    ","50460","23","0","0"
"2023/12/30 00:00:00","01912ECB010    ","30464","7","0","0"
"2023/12/30 00:00:00","01912ECB040    ","50491","21","0","0"
"2023/12/30 00:00:00","01912ECB060    ","20459","2","0","0"
"2023/12/30 00:00:00","01912TFA050    ","10118","9","0","0"
"2023/12/30 00:00:00","0355045013U    ","10111","2","0","0"
"2023/12/30 00:00:00","0355052005L    ","20015","1","0","0"
"2023/12/30 00:00:00","0355113017A    ","10001","2","0","0"
"2023/12/30 00:00:00","0355141009R    ","10014","1","0","0"
"2023/12/30 00:00:00","0355183043P    ","20106","2","0","0"
"2023/12/30 00:00:00","0355237001E    ","C0312","1","0","0"
"2023/12/30 00:00:00","1040043104R    ","10127","3","0","0"
"2023/12/30 00:00:00","1040052001Z    ","10017","2","0","0"
"2023/12/30 00:00:00","1040052001Z    ","10373","4","0","0"
"2023/12/30 00:00:00","1040052103H    ","20112","4","0","0"
"2023/12/30 00:00:00","1040183004C    ","20086","2","0","0"
"2023/12/30 00:00:00","1040183011P    ","20369","7","0","0"
"2023/12/30 00:00:00","1040183017V    ","20088","1","0","0"
"2023/12/30 00:00:00","2030044001J    ","10412","2","0","0"
"2023/12/30 00:00:00","2030045013L    ","20442","3","0","0"
"2023/12/30 00:00:00","2030052002N    ","20363","3","0","0"
"2023/12/30 00:00:00","2030113004A    ","10099","3","0","0"
"2023/12/30 00:00:00","2030183013A    ","10087","2","0","0"
"2023/12/30 00:00:00","3040040039Y    ","10098","2","0","0"
"2023/12/30 00:00:00","3040052001B    ","20379","7","0","0"
"2023/12/30 00:00:00","3040052001B    ","20506","6","0","0"
"2023/12/30 00:00:00","3040141002R    ","10507","4","0","0"
"2023/12/30 00:00:00","321110LC010    ","40081","72","0","0"
"2023/12/30 00:00:00","321118LA010    ","40509","34","0","0"
"2023/12/30 00:00:00","333560LC020    ","30043","9","0","0"
"2023/12/30 00:00:00","33490ECB010    ","30439","15","0","0"
"2023/12/30 00:00:00","33490ECE010    ","30440","62","0","0"
"2023/12/30 00:00:00","34989ECB010    ","10394","1","0","0"
"2023/12/30 00:00:00","34989ECB020    ","10397","5","0","0"
"2023/12/30 00:00:00","34989ECB030    ","10398","3","0","0"
