,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,印刷～検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,回収かんばん数,社内LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ係数,順立装置在庫量/設計値MAX,時間稼働率,加工数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,使用工程
225,82821CWA030    ,2023,37,9.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,200.0,1.0,1.8499999999999999,0.25,2.6300000000000003,0.33999999999999986,3.8499999999999996,4.225,石黒ゴム工業（株）,23,4.63855421686747,9.181799632728016,0.29,0.7822312090505545,99.44,462.0,-0.09999999999999998,0.12408759124087587,0.6428571428571428,8.ファイナル後半
368,82821CWA030    ,2023,38,10.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,200.0,1.5,1.8499999999999999,0.31999999999999995,3.36,0.29000000000000004,4.06,4.385,石黒ゴム工業（株）,22,4.8915662650602405,9.829748751621906,0.29,0.816893437878681,99.905,450.0,0.11111111111111116,0.05454545454545445,-0.04347826086956519,8.ファイナル後半
521,82821CWA030    ,2023,39,11.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,200.0,1.5,1.8499999999999999,0.3400000000000003,2.845,0.2799999999999998,3.9800000000000004,4.39,石黒ゴム工業（株）,22,4.795180722891567,10.80040845181054,0.29,0.8323932050011984,99.955,464.0,0.10000000000000009,-0.0197044334975367,0.0,8.ファイナル後半
91,82821ECB010    ,2023,36,5.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400.0,2.0,3.27,0.29000000000000004,2.6499999999999995,0.7199999999999998,3.6399999999999997,2.3625,石黒ゴム工業（株）,7,4.385542168674698,9.122422915526363,0.29,0.4797636684694313,99.89500000000001,480.0,0.0,0.0,0.0,8.ファイナル後半
226,82821ECB010    ,2023,37,5.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400.0,1.0,1.8499999999999999,0.26,2.38,0.75,3.96,2.115,石黒ゴム工業（株）,11,4.771084337349397,10.18994049074753,0.29,0.44040483633872196,99.44,462.0,0.0,0.08791208791208804,0.5714285714285714,8.ファイナル後半
369,82821ECB010    ,2023,38,5.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400.0,2.0,1.8499999999999999,0.31999999999999984,3.7100000000000004,0.6800000000000006,4.56,2.1925,石黒ゴム工業（株）,11,5.493975903614458,9.829748751621906,0.29,0.45307815059073125,99.905,450.0,0.0,0.15151515151515138,0.0,8.ファイナル後半
522,82821ECB010    ,2023,39,6.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400.0,1.0,2.565,0.26,2.34,0.8349999999999995,4.59,2.1937499999999996,石黒ゴム工業（株）,10,5.530120481927711,11.788977306218685,0.29,0.4616968659608009,99.955,464.0,0.19999999999999996,0.006578947368421018,-0.09090909090909094,8.ファイナル後半
92,82821ECB020    ,2023,36,11.0,0.0,0.0,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,200.0,1.0,3.27,0.30000000000000027,2.59,0.5099999999999998,3.3999999999999995,4.725,石黒ゴム工業（株）,15,3.9080459770114935,10.034665207079,0.29,0.8707067582039311,99.89500000000001,480.0,0.0,0.0,0.0,8.ファイナル後半
227,82821ECB020    ,2023,37,10.0,0.0,0.0,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,200.0,2.0,1.8499999999999999,0.2400000000000002,2.8649999999999993,0.4950000000000001,4.369999999999999,4.23,石黒ゴム工業（株）,22,5.022988505747126,10.18994049074753,0.29,0.7989491906578594,99.44,462.0,-0.09090909090909094,0.2852941176470587,0.46666666666666656,8.ファイナル後半
370,82821ECB020    ,2023,38,10.0,0.0,0.0,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,200.0,1.5,1.8499999999999999,0.30999999999999994,3.0949999999999998,0.5449999999999999,4.619999999999999,4.385,石黒ゴム工業（株）,22,5.310344827586206,9.829748751621906,0.29,0.816893437878681,99.905,450.0,0.0,0.05720823798626995,0.0,8.ファイナル後半
523,82821ECB020    ,2023,39,12.0,0.0,0.0,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,200.0,2.0,1.8499999999999999,0.3799999999999999,3.07,0.5099999999999998,4.300000000000001,4.39,石黒ゴム工業（株）,23,4.942528735632185,11.782263765611498,0.29,0.8452630612243708,99.955,464.0,0.19999999999999996,-0.06926406926406892,0.045454545454545414,8.ファイナル後半
93,82821ECB040    ,2023,36,4.0,0.0,0.0,0.83,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,100.0,1.0,1.8499999999999999,0.30499999999999994,0.7699999999999999,0.5150000000000001,1.84,4.11,石黒ゴム工業（株）,16,2.216867469879518,4.194982800570517,0.29,0.6196283258080234,99.89500000000001,480.0,0.0,0.0,0.0,8.ファイナル後半
228,82821ECB040    ,2023,37,4.0,0.0,0.0,0.83,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,100.0,1.5,1.8499999999999999,0.26,1.0550000000000002,0.4549999999999996,1.755,3.72,石黒ゴム工業（株）,20,2.1144578313253013,4.634779384501297,0.29,0.5987325384938736,99.44,462.0,0.0,-0.04619565217391319,0.25,8.ファイナル後半
371,82821ECB040    ,2023,38,4.0,0.0,0.0,0.83,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,100.0,1.0,1.8499999999999999,0.31999999999999984,1.1100000000000003,0.3999999999999999,2.0,3.78,石黒ゴム工業（株）,19,2.4096385542168677,4.561211457763181,0.29,0.6023904547984739,99.905,450.0,0.0,0.13960113960113962,-0.050000000000000044,8.ファイナル後半
524,82821ECB040    ,2023,39,5.0,0.0,0.0,0.83,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,100.0,2.0,1.8499999999999999,0.3599999999999999,1.2400000000000002,0.3799999999999999,2.0300000000000002,3.87,石黒ゴム工業（株）,20,2.4457831325301207,5.568920965873652,0.29,0.6495682154019367,99.955,464.0,0.25,0.015000000000000124,0.05263157894736836,8.ファイナル後半
94,82821ECB050    ,2023,36,19.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,100.0,2.0,1.8499999999999999,0.31999999999999984,2.0999999999999996,0.20999999999999996,2.85,9.45,石黒ゴム工業（株）,33,3.433734939759036,8.666301769750046,0.29,1.3704754522281775,99.89500000000001,480.0,0.0,0.0,0.0,8.ファイナル後半
229,82821ECB050    ,2023,37,17.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,100.0,1.0,1.8499999999999999,0.2400000000000002,2.05,0.20999999999999996,2.5599999999999996,8.45,石黒ゴム工業（株）,45,3.08433734939759,8.671699653132015,0.29,1.2763529673498397,99.44,462.0,-0.10526315789473684,-0.10175438596491249,0.36363636363636354,8.ファイナル後半
372,82821ECB050    ,2023,38,18.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,100.0,1.5,1.8499999999999999,0.31499999999999984,2.595,0.22000000000000042,3.395,8.77,石黒ゴム工業（株）,44,4.090361445783133,8.846773876459716,0.29,1.3167256312981481,99.905,450.0,0.05882352941176472,0.3261718750000002,-0.022222222222222254,8.ファイナル後半
525,82821ECB050    ,2023,39,19.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,100.0,2.0,1.8499999999999999,0.3400000000000003,2.4999999999999996,0.2699999999999996,3.395,8.78,石黒ゴム工業（株）,46,4.090361445783133,9.327625481109104,0.29,1.3421277567421697,99.955,464.0,0.05555555555555558,0.0,0.045454545454545414,8.ファイナル後半
95,82821ECE010    ,2023,36,34.0,0.0,0.0,1.07,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,50.0,1.0,3.29,0.2999999999999998,3.815,0.17000000000000037,4.335,10.56,石黒ゴム工業（株）,26,4.0514018691588785,13.878004179728315,0.29,1.7271153500521725,99.89500000000001,480.0,0.0,0.0,0.0,8.ファイナル後半
230,82821ECE010    ,2023,37,33.0,0.0,0.0,1.07,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,50.0,2.0,1.8499999999999999,0.2400000000000002,5.01,0.14999999999999947,5.57,9.5,石黒ゴム工業（株）,50,5.205607476635514,14.97277676950998,0.29,1.6338431886135065,99.44,462.0,-0.02941176470588236,0.28489042675893894,0.9230769230769231,8.ファイナル後半
