,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX
21,1040052001Z    ,2023,37,3.1083333333333334,0.07083333333333333,0.07083333333333333,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,2.9166666666666665,3.6199999999999997,2.25125,（株）青山製作所,12,6.830188679245282,12.254861697479045,0.08,0.2439318034022573
22,1040052001Z    ,2023,38,2.8375,0.07916666666666666,0.07083333333333333,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,3.4615384615384617,3.6766666666666663,2.06,（株）青山製作所,13,6.937106918238992,12.225685069225024,0.08,0.22391855108315942
23,1040052001Z    ,2023,39,3.4375,0.08333333333333333,0.07083333333333333,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,3.2,2.6639999999999997,2.386,（株）青山製作所,5,5.0264150943396215,12.787240163279881,0.08,0.25837692122032435
24,1040183011P    ,2023,36,1.0136986301369864,0.136986301369863,0.0136986301369863,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.25,1.5458333333333334,2.0500000000000003,（株）青山製作所,12,2.8626543209876543,4.388939082711731,0.08,0.20974062698035553
25,1040183011P    ,2023,37,1.0,0.1774193548387097,0.0,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.0833333333333335,1.4816666666666667,2.109,（株）青山製作所,12,2.743827160493827,4.208506232797731,0.08,0.21434130985306246
26,1040183011P    ,2023,38,1.4416666666666667,0.08333333333333333,0.08333333333333333,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.5,1.92,2.1075,（株）青山製作所,12,3.5555555555555554,6.071581489046586,0.08,0.22083656040684085
27,1040183011P    ,2023,39,1.6722689075630253,0.08403361344537816,0.08403361344537816,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.3333333333333335,1.2944444444444445,2.11,（株）青山製作所,9,2.397119341563786,7.034418691899767,0.08,0.22321962942741205
28,2030044001J    ,2023,36,1.4583333333333333,0.025,0.03333333333333333,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,2.0,3.26,1.010625,ＮＯＫ（株）,4,6.037037037037036,6.384962137174526,0.03,0.2101100876525152
29,2030044001J    ,2023,37,1.0085470085470085,0.03418803418803419,0.02564102564102564,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,2.0,4.898000000000001,0.9595,ＮＯＫ（株）,5,9.070370370370371,4.650961316259891,0.03,0.1947495845385347
30,2030044001J    ,2023,38,1.3083333333333333,0.03333333333333333,0.03333333333333333,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,1.5,2.6975000000000002,0.938125,ＮＯＫ（株）,4,4.99537037037037,6.1709106416764445,0.03,0.19565678647679716
31,2030044001J    ,2023,39,1.2666666666666666,0.03333333333333333,0.041666666666666664,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,2.0,1.88,0.9683333333333334,ＮＯＫ（株）,3,3.481481481481481,5.7880066409760405,0.03,0.2004032332132208
32,2030045013L    ,2023,36,2.7416666666666667,0.058333333333333334,0.041666666666666664,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,1.0,4.652857142857143,1.1811428571428573,伊藤金属工業（株）,7,8.778975741239892,7.841885789998996,0.0,0.30187632335357734
33,2030045013L    ,2023,37,2.466666666666667,0.03333333333333333,0.058333333333333334,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,1.0,6.621666666666667,1.1115,伊藤金属工業（株）,6,12.4937106918239,7.49737591842855,0.0,0.28468816892023435
34,2030045013L    ,2023,38,2.158333333333333,0.041666666666666664,0.041666666666666664,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,1.0,4.1525,1.14025,伊藤金属工業（株）,4,7.834905660377358,6.394796462764012,0.0,0.284288273302287
35,2030045013L    ,2023,39,2.3333333333333335,0.05,0.03333333333333333,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,1.0,3.3899999999999997,0.56175,伊藤金属工業（株）,2,6.396226415094339,14.032724313098145,0.0,0.15957076216585062
