シリアル,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,AVAILABLE_RATE,KAKO_CNT,先週からの順立装置在庫量の増加率,先週からの社内LTの増加率,先週からかんばん増加数,使用工程
5,1040052001Z    ,2023,36,2.725,0.070833333,0.075,0.53,3,ＴＰ１３１フタナシ,1,6,5.76,200,3.846153846,3.093076923,2.362692308,（株）青山製作所,13,5.835994194,10.23679235,0.08,0.253518818,95.285,469.4,0,0,0,2.MGケース
156,1040052001Z    ,2023,37,3.108333333,0.070833333,0.070833333,0.53,3,ＴＰ１３１フタナシ,1,6,5.76,200,2.916666667,3.62,2.25125,（株）青山製作所,12,6.830188679,12.2548617,0.08,0.243931803,90.551,445.7,0.140672783,0.170355633,-0.076923077,2.MGケース
311,1040052001Z    ,2023,38,2.8375,0.079166667,0.070833333,0.53,3,ＴＰ１３１フタナシ,1,6,5.76,200,3.461538462,3.676666667,2.06,（株）青山製作所,13,6.937106918,12.22568507,0.08,0.223918551,94.16,430.5,-0.087131367,0.015653775,0.083333333,2.MGケース
455,1040052001Z    ,2023,39,3.4375,0.083333333,0.070833333,0.53,3,ＴＰ１３１フタナシ,1,6,5.76,200,3.2,2.664,2.386,（株）青山製作所,5,5.026415094,12.78724016,0.08,0.258376921,98.06,454.5,0.211453744,-0.275430644,-0.615384615,2.MGケース
6,1040183011P    ,2023,36,1.01369863,0.136986301,0.01369863,0.54,1,ＴＰ３３１フタナシ,1,6,5.76,500,3.25,1.545833333,2.05,（株）青山製作所,12,2.862654321,4.388939083,0.08,0.209740627,95.285,469.4,0,0,0,8.ファイナル後半
157,1040183011P    ,2023,37,1,0.177419355,0,0.54,1,ＴＰ３３１フタナシ,1,6,5.76,500,3.083333333,1.481666667,2.109,（株）青山製作所,12,2.74382716,4.208506233,0.08,0.21434131,90.551,445.7,-0.013513514,-0.041509434,0,8.ファイナル後半
312,1040183011P    ,2023,38,1.441666667,0.083333333,0.083333333,0.54,1,ＴＰ３３１フタナシ,1,6,5.76,500,3.5,1.92,2.1075,（株）青山製作所,12,3.555555556,6.071581489,0.08,0.22083656,94.16,430.5,0.441666667,0.29583802,0,8.ファイナル後半
456,1040183011P    ,2023,39,1.672268908,0.084033613,0.084033613,0.54,1,ＴＰ３３１フタナシ,1,6,5.76,500,3.333333333,1.294444444,2.11,（株）青山製作所,9,2.397119342,7.034418692,0.08,0.223219629,98.06,454.5,0.159955312,-0.325810185,-0.25,8.ファイナル後半
7,2030044001J    ,2023,36,1.458333333,0.025,0.033333333,0.54,1,ＴＰ１３１フタナシ,1,2,3.52,400,2,3.26,1.010625,ＮＯＫ（株）,4,6.037037037,6.384962137,0.03,0.210110088,95.285,469.4,0,0,0,4.TA・カバー・メイン
158,2030044001J    ,2023,37,1.008547009,0.034188034,0.025641026,0.54,1,ＴＰ１３１フタナシ,1,2,3.52,400,2,4.898,0.9595,ＮＯＫ（株）,5,9.07037037,4.650961316,0.03,0.194749585,90.551,445.7,-0.308424908,0.502453988,0.25,4.TA・カバー・メイン
313,2030044001J    ,2023,38,1.308333333,0.033333333,0.033333333,0.54,1,ＴＰ１３１フタナシ,1,2,3.52,400,1.5,2.6975,0.938125,ＮＯＫ（株）,4,4.99537037,6.170910642,0.03,0.195656786,94.16,430.5,0.297245763,-0.449265006,-0.2,4.TA・カバー・メイン
457,2030044001J    ,2023,39,1.266666667,0.033333333,0.041666667,0.54,1,ＴＰ１３１フタナシ,1,2,3.52,400,2,1.88,0.968333333,ＮＯＫ（株）,3,3.481481481,5.788006641,0.03,0.200403233,98.06,454.5,-0.031847134,-0.303058387,-0.25,4.TA・カバー・メイン
