シリアル,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,AVAILABLE_RATE,KAKO_CNT,先週からの順立装置在庫量の増加率,先週からの社内LTの増加率,先週からかんばん増加数,使用工程
23,35174ECB010    ,2023,36,15.83333333,0.733333333,0.775,0.87,1,ＴＰ３３２フタナシ,1,4,6.88,20,2.489795918,1.597755102,18.54030612,（株）浅賀井製作所,98,1.836500117,4.335001261,0.13,1.599796342,95.285,469.4,0,0,0,2.MGケース
173,35174ECB010    ,2023,37,13.69166667,0.691666667,0.75,0.87,1,ＴＰ３３２フタナシ,1,4,6.88,20,2.55,1.5206,17.693,（株）浅賀井製作所,100,1.747816092,3.928154978,0.13,1.482415025,90.551,445.7,-0.135263158,-0.048289692,0.020408163,2.MGケース
327,35174ECB010    ,2023,38,12.91666667,0.675,0.716666667,0.87,1,ＴＰ３３２フタナシ,1,4,6.88,20,2.510869565,1.537391304,17.51521739,（株）浅賀井製作所,92,1.767116442,3.743421187,0.13,1.435506355,94.16,430.5,-0.056603774,0.011042552,-0.08,2.MGケース
470,35174ECB010    ,2023,39,17.94166667,0.766666667,0.766666667,0.87,1,ＴＰ３３２フタナシ,1,4,6.88,20,2.234567901,1.230617284,17.75493827,（株）浅賀井製作所,81,1.414502625,5.129527836,0.13,1.715919154,98.06,454.5,0.389032258,-0.199541925,-0.119565217,2.MGケース
24,35174ECE010    ,2023,36,16.14166667,0.45,0.5,0.87,1,ＴＰ３３２フタナシ,1,4,6.88,40,2.524590164,2.459180328,11.7954918,（株）浅賀井製作所,61,2.826644055,6.946500885,0.13,1.539479081,95.285,469.4,0,0,0,2.MGケース
174,35174ECE010    ,2023,37,14.68333333,0.458333333,0.475,0.87,1,ＴＰ３３２フタナシ,1,4,6.88,40,2.507692308,2.517230769,11.53269231,（株）浅賀井製作所,65,2.8933687,6.462904323,0.13,1.479770179,90.551,445.7,-0.090345896,0.023605606,0.06557377,2.MGケース
328,35174ECE010    ,2023,38,14.71666667,0.425,0.466666667,0.87,1,ＴＰ３３２フタナシ,1,4,6.88,40,2.55,2.441,11.47208333,（株）浅賀井製作所,60,2.805747126,6.511798209,0.13,1.478553293,94.16,430.5,0.002270148,-0.030283584,-0.076923077,2.MGケース
471,35174ECE010    ,2023,39,17.225,0.475,0.475,0.87,1,ＴＰ３３２フタナシ,1,4,6.88,40,2.23255814,1.441395349,10.64302326,（株）浅賀井製作所,43,1.656776263,8.215386373,0.13,1.509866504,98.06,454.5,0.170441676,-0.409506207,-0.283333333,2.MGケース
25,35174ECE020    ,2023,36,9.525,0.208333333,0.233333333,0.63,3,ＴＰ３３１フタナシ,1,4,6.88,90,2.592592593,2.769259259,5.349794239,（株）浅賀井製作所,27,4.395649618,9.037778212,0.13,0.894978271,95.285,469.4,0,0,0,2.MGケース
175,35174ECE020    ,2023,37,7.941666667,0.216666667,0.216666667,0.63,3,ＴＰ３３１フタナシ,1,4,6.88,90,2.620689655,2.446206897,5.166283525,（株）浅賀井製作所,29,3.88286809,7.803100347,0.13,0.849104999,90.551,445.7,-0.166229221,-0.116656597,0.074074074,2.MGケース
329,35174ECE020    ,2023,38,8.508333333,0.225,0.208333333,0.63,3,ＴＰ３３１フタナシ,1,4,6.88,90,2.607142857,2.774285714,5.087301587,（株）浅賀井製作所,28,4.403628118,8.489669536,0.13,0.849486047,94.16,430.5,0.07135362,0.134117363,-0.034482759,2.MGケース
472,35174ECE020    ,2023,39,11.70833333,0.233333333,0.216666667,0.63,3,ＴＰ３３１フタナシ,1,4,6.88,90,2.388888889,1.57,4.556790123,（株）浅賀井製作所,18,2.492063492,13.04276969,0.13,0.812525355,98.06,454.5,0.376101861,-0.434088568,-0.357142857,2.MGケース
26,3519510A010    ,2023,36,2.7,0.016666667,0.025,0.63,1,ＡＷ１３１フタナシ,1,2,2.34,600,2,6.995,0.6575,中庸スプリング（株）,2,11.1031746,24.58960406,0.1,0.108211102,95.285,469.4,0,0,0,4.TA・カバー・メイン
176,3519510A010    ,2023,37,2.475,0.033333333,0.025,0.63,1,ＡＷ１３１フタナシ,1,2,2.34,600,1,4.8175,0.634583333,中庸スプリング（株）,4,7.646825397,23.35447293,0.1,0.104414987,90.551,445.7,-0.083333333,-0.311293781,1,4.TA・カバー・メイン
330,3519510A010    ,2023,38,2.466666667,0.025,0.025,0.63,1,ＡＷ１３１フタナシ,1,2,2.34,600,1.5,6.015,0.6425,中庸スプリング（株）,2,9.547619048,22.98904137,0.1,0.10567315,94.16,430.5,-0.003367003,0.248572911,-0.5,4.TA・カバー・メイン
473,3519510A010    ,2023,39,2.366666667,0.025,0.025,0.63,1,ＡＷ１３１フタナシ,1,2,2.34,600,2,2.86,0.701666667,中庸スプリング（株）,1,4.53968254,20.19713542,0.1,0.114981328,98.06,454.5,-0.040540541,-0.524522028,-0.5,4.TA・カバー・メイン
27,35195ECE010    ,2023,36,6.841666667,0.1,0.1,0.62,3,ＴＰ１３１フタナシ,1,1,1.74,400,1,3.415,2.170416667,三共鋼業（株）,12,5.508064516,11.50451282,0,0.496368217,95.285,469.4,0,0,0,4.TA・カバー・メイン
177,35195ECE010    ,2023,37,7.516666667,0.108333333,0.1,0.62,3,ＴＰ１３１フタナシ,1,1,1.74,400,1,4.723,2.5075,三共鋼業（株）,13,7.617741935,10.94041477,0,0.553783703,90.551,445.7,0.098660171,0.383016105,0.083333333,4.TA・カバー・メイン
331,35195ECE010    ,2023,38,6.516666667,0.108333333,0.091666667,0.62,3,ＴＰ１３１フタナシ,1,1,1.74,400,1,4.596153846,1.898076923,三共鋼業（株）,13,7.413151365,12.53029037,0,0.448705158,94.16,430.5,-0.133037694,-0.026857115,0,4.TA・カバー・メイン
474,35195ECE010    ,2023,39,8.216666667,0.1,0.1,0.62,3,ＴＰ１３１フタナシ,1,1,1.74,400,1,2.332,1.993,三共鋼業（株）,5,3.761290323,15.04658031,0,0.479406982,98.06,454.5,0.260869565,-0.492619247,-0.615384615,4.TA・カバー・メイン
28,35195TFG010    ,2023,36,5.783333333,0.091666667,0.1,0.62,1,ＴＰ１３１フタナシ,1,1,1.74,400,1,3.96,2.318333333,三共鋼業（株）,12,6.387096774,9.104409473,0,0.501213624,95.285,469.4,0,0,0,2.MGケース
178,35195TFG010    ,2023,37,5.491666667,0.108333333,0.1,0.62,1,ＴＰ１３１フタナシ,1,1,1.74,400,1,2.942,2.233,三共鋼業（株）,13,4.74516129,8.975628784,0,0.485117617,90.551,445.7,-0.050432277,-0.257070707,0.083333333,2.MGケース
332,35195TFG010    ,2023,38,4.683333333,0.108333333,0.091666667,0.62,1,ＴＰ１３１フタナシ,1,1,1.74,400,1,3.641538462,2.102307692,三共鋼業（株）,13,5.873449132,8.130331009,0,0.453031993,94.16,430.5,-0.147192716,0.2377765,0,2.MGケース
475,35195TFG010    ,2023,39,5.591666667,0.108333333,0.108333333,0.62,1,ＴＰ１３１フタナシ,1,1,1.74,400,1,1.495714286,1.794285714,三共鋼業（株）,7,2.412442396,11.37363042,0,0.42176969,98.06,454.5,0.193950178,-0.589263082,-0.461538462,2.MGケース
29,35198ECE010    ,2023,36,5.958333333,0.1,0.1,0.58,1,ＴＰ３３１フタナシ,1,1,1.78,200,1,3.615,2.390833333,サトープレス工業（株）,12,6.232758621,8.96459549,0,0.51924607,95.285,469.4,0,0,0,2.MGケース
179,35198ECE010    ,2023,37,5.641666667,0.108333333,0.1,0.58,1,ＴＰ３３１フタナシ,1,1,1.78,200,1,3.457692308,2.318076923,サトープレス工業（株）,13,5.961538462,8.754569266,0,0.504235727,90.551,445.7,-0.053146853,-0.043515268,0.083333333,2.MGケース
333,35198ECE010    ,2023,38,5.633333333,0.108333333,0.091666667,0.58,1,ＴＰ３３１フタナシ,1,1,1.78,200,1,3.763076923,2.274615385,サトープレス工業（株）,13,6.48806366,8.908666101,0,0.49865692,94.16,430.5,-0.001477105,0.088320356,0,2.MGケース
476,35198ECE010    ,2023,39,5.808333333,0.083333333,0.1,0.58,1,ＴＰ３３１フタナシ,1,1,1.78,200,1,1.758333333,2.050833333,サトープレス工業（株）,6,3.031609195,10.18770518,0,0.47065032,98.06,454.5,0.031065089,-0.532740529,-0.538461538,2.MGケース
30,35300ECB010    ,2023,36,118.9833333,2.691666667,2.933333333,0.91,3,TP341ﾌﾀﾅｼ,1,4,8.04,12,2.52393617,3.063324468,69.78856383,アイシン精機（株）,376,3.366290624,7.54385672,0.14,4.17772311,95.285,469.4,0,0,0,3.ギヤサブ・共通部品
180,35300ECB010    ,2023,37,131.2583333,2.733333333,2.825,0.91,3,TP341ﾌﾀﾅｼ,1,4,8.04,12,2.491002571,3.256066838,67.35175664,アイシン精機（株）,389,3.578095426,8.623221049,0.14,4.553036197,90.551,445.7,0.103165709,0.062919345,0.034574468,3.ギヤサブ・共通部品
334,35300ECB010    ,2023,38,129.9666667,2.25,2.758333333,0.91,3,TP341ﾌﾀﾅｼ,1,4,8.04,12,2.444126074,3.250773639,67.98543457,アイシン精機（株）,349,3.572278724,8.458778706,0.14,4.504222087,94.16,430.5,-0.009840645,-0.001625642,-0.102827763,3.ギヤサブ・共通部品
477,35300ECB010    ,2023,39,131.7166667,2.908333333,2.85,0.91,3,TP341ﾌﾀﾅｼ,1,4,8.04,12,2.184834123,2.357109005,62.30094787,アイシン精機（株）,211,2.590229676,9.354867447,0.14,4.696593107,98.06,454.5,0.013464991,-0.274908294,-0.395415473,3.ギヤサブ・共通部品
31,35312ECB010    ,2023,36,6.158333333,0.25,0.241666667,0.59,1,ＴＰ３３１フタアリ,1,1,1.9,63,1,2.085,6,（株）旭工業所,30,3.533898305,3.539272031,0,0.625893187,95.285,469.4,0,0,0,2.MGケース
181,35312ECB010    ,2023,37,4.579831933,0.25210084,0.226890756,0.59,1,ＴＰ３３１フタアリ,1,1,1.9,63,1,1.765333333,5.565608466,（株）旭工業所,30,2.992090395,2.837519744,0,0.527544794,90.551,445.7,-0.256319578,-0.153317346,0,2.MGケース
335,35312ECB010    ,2023,38,4.975,0.258333333,0.225,0.59,1,ＴＰ３３１フタアリ,1,1,1.9,63,1,1.913548387,5.642089094,（株）旭工業所,31,3.243302351,3.040570989,0,0.554950437,94.16,430.5,0.086284404,0.083958678,0.033333333,2.MGケース
478,35312ECB010    ,2023,39,5.291666667,0.266666667,0.241666667,0.59,1,ＴＰ３３１フタアリ,1,1,1.9,63,1,1.42125,5.466931217,（株）旭工業所,24,2.408898305,3.337727459,0,0.582910731,98.06,454.5,0.063651591,-0.257269892,-0.225806452,2.MGケース
32,35352ECB010    ,2023,36,1.675,0.025,0.025,0.64,1,ＴＰ３３１フタアリ,1,1,1.97,504,1,6.376666667,0.763227513,五興商事（株）,3,9.963541667,7.389317788,0,0.204500059,95.285,469.4,0,0,0,2.MGケース
182,35352ECB010    ,2023,37,1.565217391,0.034782609,0.008695652,0.64,1,ＴＰ３３１フタアリ,1,1,1.97,504,1,5.55,0.73859127,五興商事（株）,4,8.671875,7.135329704,0,0.19785703,90.551,445.7,-0.065541856,-0.12963931,0.333333333,2.MGケース
336,35352ECB010    ,2023,38,2.35,0.033333333,0.025,0.64,1,ＴＰ３３１フタアリ,1,1,1.97,504,1,4.67,0.783730159,五興商事（株）,3,7.296875,10.09589567,0,0.215224873,94.16,430.5,0.501388889,-0.158558559,-0.25,2.MGケース
479,35352ECB010    ,2023,39,2.3,0.025,0.033333333,0.64,1,ＴＰ３３１フタアリ,1,1,1.97,504,1,2.465,0.41765873,五興商事（株）,2,3.8515625,18.54171165,0,0.121178572,98.06,454.5,-0.021276596,-0.472162741,-0.333333333,2.MGケース
33,3539450A010    ,2023,36,2.511520737,0.02764977,0.02764977,0.71,3,サンボックスＣ３フタナシ,1,1,1.88,2000,1,5.63,0.89625,ミズショー（株）,4,7.929577465,9.730050896,0,0.235356953,95.285,469.4,0,0,0,3.ギヤサブ・共通部品
183,3539450A010    ,2023,37,2.459227468,0.025751073,0.017167382,0.71,3,サンボックスＣ３フタナシ,1,1,1.88,2000,1,6.586666667,0.877333333,ミズショー（株）,3,9.276995305,9.732884799,0,0.230824845,90.551,445.7,-0.020821357,0.169923031,-0.25,3.ギヤサブ・共通部品
337,3539450A010    ,2023,38,2.9125,0.020833333,0.025,0.71,3,サンボックスＣ３フタナシ,1,1,1.88,2000,1,6.44,0.8904,ミズショー（株）,5,9.070422535,11.35764513,0,0.236931834,94.16,430.5,0.184315009,-0.022267206,0.666666667,3.ギヤサブ・共通部品
34,35409ECB010    ,2023,36,5.058333333,0.058333333,0.075,0.66,1,ＴＰ１３１フタナシ,1,1,2.26,200,1,2.985714286,1.770714286,サンコール（株）,7,4.523809524,8.762768812,0,0.476212048,95.285,469.4,0,0,0,4.TA・カバー・メイン
184,35409ECB010    ,2023,37,3.008333333,0.075,0.066666667,0.66,1,ＴＰ１３１フタナシ,1,1,2.26,200,1,3.084444444,1.710555556,サンコール（株）,9,4.673400673,5.394748116,0,0.418356814,90.551,445.7,-0.405271829,0.033067517,0.285714286,4.TA・カバー・メイン
338,35409ECB010    ,2023,38,2.883333333,0.083333333,0.075,0.66,1,ＴＰ１３１フタナシ,1,1,2.26,200,1,3.137,1.733,サンコール（株）,10,4.753030303,5.103624222,0,0.416469613,94.16,430.5,-0.041551247,0.017038905,0.111111111,4.TA・カバー・メイン
480,35409ECB010    ,2023,39,2.425,0.075,0.075,0.66,1,ＴＰ１３１フタナシ,1,1,2.26,200,1,1.906666667,1.614166667,サンコール（株）,6,2.888888889,4.608353313,0,0.384723491,98.06,454.5,-0.158959538,-0.392200616,-0.4,4.TA・カバー・メイン
35,35441ECB010    ,2023,36,27.7,0.741666667,0.758333333,0.67,3,ＴＰ３３１フタナシ,1,1,2.14,48,1,2.364157303,17.59410112,（株）ニフコ,89,3.52859299,5.013985079,0,1.179336094,95.285,469.4,0,0,0,2.MGケース
185,35441ECB010    ,2023,37,21.73333333,0.633333333,0.716666667,0.67,3,ＴＰ３３１フタナシ,1,1,2.14,48,1,2.221530612,17.00106293,（株）ニフコ,98,3.315717332,4.071182941,0,0.991380207,90.551,445.7,-0.215403129,-0.060328765,0.101123596,2.MGケース
339,35441ECB010    ,2023,38,24.975,0.733333333,0.683333333,0.67,3,ＴＰ３３１フタナシ,1,1,2.14,48,1,2.347840909,16.90980114,（株）ニフコ,88,3.504240163,4.703675455,0,1.11202801,94.16,430.5,0.149156442,0.056857329,-0.102040816,2.MGケース
481,35441ECB010    ,2023,39,22.225,0.816666667,0.708333333,0.67,3,ＴＰ３３１フタナシ,1,1,2.14,48,1,1.571641791,16.33208955,（株）ニフコ,67,2.345734016,4.333815006,0,1.034562581,98.06,454.5,-0.11011011,-0.330601241,-0.238636364,2.MGケース
36,35441TFA010    ,2023,36,6.258333333,0.133333333,0.15,0.67,1,ＴＰ３３１フタナシ,1,1,2.14,100,1,2.90875,3.768125,（株）ニフコ,16,4.34141791,5.289367491,0,0.67687669,95.285,469.4,0,0,0,2.MGケース
186,35441TFA010    ,2023,37,3.566666667,0.125,0.141666667,0.67,1,ＴＰ３３１フタナシ,1,1,2.14,100,1,2.217368421,3.447894737,（株）ニフコ,19,3.309505106,3.294419322,0,0.515808658,90.551,445.7,-0.430093209,-0.237690272,0.1875,2.MGケース
340,35441TFA010    ,2023,38,3.408333333,0.158333333,0.141666667,0.67,1,ＴＰ３３１フタナシ,1,1,2.14,100,1,2.313157895,3.62,（株）ニフコ,19,3.45247447,2.998498551,0,0.501262455,94.16,430.5,-0.044392523,0.04319962,0,2.MGケース
482,35441TFA010    ,2023,39,3.612068966,0.189655172,0.146551724,0.67,1,ＴＰ３３１フタナシ,1,1,2.14,100,1,1.723333333,3.142666667,（株）ニフコ,15,2.572139303,3.660395953,0,0.518960815,98.06,454.5,0.059775736,-0.254986727,-0.210526316,2.MGケース
37,3548255A010    ,2023,36,6.025,0.05,0.066666667,0.57,1,ＡＷ１３１フタナシ,1,1,1.78,300,1,6.03,1.690555556,サトープレス工業（株）,6,10.57894737,12.819846,0,0.412814606,95.285,469.4,0,0,0,4.TA・カバー・メイン
187,3548255A010    ,2023,37,4.233333333,0.066666667,0.058333333,0.57,1,ＡＷ１３１フタナシ,1,1,1.78,300,1,3.57125,1.46375,サトープレス工業（株）,8,6.265350877,10.40329137,0,0.354543734,90.551,445.7,-0.297372061,-0.407752902,0.333333333,4.TA・カバー・メイン
341,3548255A010    ,2023,38,4.333333333,0.058333333,0.066666667,0.57,1,ＡＷ１３１フタナシ,1,1,1.78,300,1,3.582857143,1.399047619,サトープレス工業（株）,7,6.285714286,11.14152925,0,0.343628189,94.16,430.5,0.023622047,0.003250163,-0.125,4.TA・カバー・メイン
483,3548255A010    ,2023,39,3.208333333,0.058333333,0.066666667,0.57,1,ＡＷ１３１フタナシ,1,1,1.78,300,1,1.22,1.656,サトープレス工業（株）,5,2.140350877,6.969062431,0,0.368440976,98.06,454.5,-0.259615385,-0.659489633,-0.285714286,4.TA・カバー・メイン
188,35482TFA010    ,2023,37,1,0.060606061,0,0.66,1,ＡＷ１３１フタナシ,1,1,1.78,1000,1,7.095,0.369,サトープレス工業（株）,2,10.75,9.748298922,0,0.098660692,90.551,445.7,0,0,0,4.TA・カバー・メイン
342,35482TFA010    ,2023,38,1,0.055555556,0,0.66,1,ＡＷ１３１フタナシ,1,1,1.78,1000,1,7.51,0.42,サトープレス工業（株）,1,11.37878788,8.56457691,0,0.111042303,94.16,430.5,0,0.058491896,-0.5,4.TA・カバー・メイン
38,35501ECB010    ,2023,36,5.041666667,0.158333333,0.158333333,0.6,1,ＴＰ３３１フタナシ,1,1,1.38,100,1,2.328421053,3.831578947,大橋鉄工（株）,19,3.880701754,5.528653769,0,0.527823082,95.285,469.4,0,0,0,4.TA・カバー・メイン
189,35501ECB010    ,2023,37,3.941666667,0.175,0.15,0.6,1,ＴＰ３３１フタナシ,1,1,1.38,100,1,2.123809524,3.671904762,大橋鉄工（株）,21,3.53968254,4.510363346,0,0.471160776,90.551,445.7,-0.218181818,-0.087875657,0.105263158,4.TA・カバー・メイン
343,35501ECB010    ,2023,38,4.183333333,0.175,0.15,0.6,1,ＴＰ３３１フタナシ,1,1,1.38,100,1,2.623333333,3.677619048,大橋鉄工（株）,21,4.372222222,4.779459369,0,0.484128342,94.16,430.5,0.061310782,0.235201794,0,4.TA・カバー・メイン
484,35501ECB010    ,2023,39,4.525,0.175,0.158333333,0.6,1,ＴＰ３３１フタナシ,1,1,1.38,100,1,1.687857143,3.343571429,大橋鉄工（株）,14,2.813095238,5.686316398,0,0.492004712,98.06,454.5,0.081673307,-0.356598294,-0.333333333,4.TA・カバー・メイン
39,35505ECB010    ,2023,36,14.73333333,0.633333333,0.65,0.81,1,ＴＰ１３１フタナシ,1,2,2.34,24,1.475609756,1.648902439,15.3953252,中庸スプリング（株）,82,2.035682023,5.730541689,0.1,1.037706993,95.285,469.4,0,0,0,4.TA・カバー・メイン
190,35505ECB010    ,2023,37,11.525,0.633333333,0.633333333,0.81,1,ＴＰ１３１フタナシ,1,2,2.34,24,1.458823529,1.504588235,14.82892157,中庸スプリング（株）,85,1.85751634,4.653876934,0.1,0.899702929,90.551,445.7,-0.217760181,-0.087521372,0.036585366,4.TA・カバー・メイン
344,35505ECB010    ,2023,38,10.63333333,0.583333333,0.608333333,0.81,1,ＴＰ１３１フタナシ,1,2,2.34,24,1.467532468,1.568181818,14.70941558,中庸スプリング（株）,77,1.936026936,4.328700507,0.1,0.856223276,94.16,430.5,-0.07736804,0.042266436,-0.094117647,4.TA・カバー・メイン
485,35505ECB010    ,2023,39,12.73333333,0.658333333,0.641666667,0.81,1,ＴＰ１３１フタナシ,1,2,2.34,24,1.4,1.153285714,14.85714286,中庸スプリング（株）,70,1.423809524,5.132043605,0.1,0.957143606,98.06,454.5,0.197492163,-0.264571429,-0.090909091,4.TA・カバー・メイン
40,35556ECB010    ,2023,36,4.325,0.141666667,0.15,0.75,1,ＡＷ１３１フタナシ,1,2,3.8,100,1.55,2.203333333,3.632777778,（株）ギフ加藤製作所,20,2.937777778,4.96062089,0.12,0.62152872,95.285,469.4,0,0,0,4.TA・カバー・メイン
191,35556ECB010    ,2023,37,3.758333333,0.158333333,0.15,0.75,1,ＡＷ１３１フタナシ,1,2,3.8,100,1.473684211,2.093846154,3.511538462,（株）ギフ加藤製作所,19,2.791794872,4.459504685,0.12,0.588080277,90.551,445.7,-0.131021195,-0.049691609,-0.05,4.TA・カバー・メイン
345,35556ECB010    ,2023,38,2.991666667,0.15,0.141666667,0.75,1,ＡＷ１３１フタナシ,1,2,3.8,100,1.526315789,1.911875,3.514375,（株）ギフ加藤製作所,19,2.549166667,3.546940147,0.12,0.545939877,94.16,430.5,-0.203991131,-0.086907605,0,4.TA・カバー・メイン
486,35556ECB010    ,2023,39,4.816666667,0.183333333,0.15,0.75,1,ＡＷ１３１フタナシ,1,2,3.8,100,1.428571429,1.601428571,3.643571429,（株）ギフ加藤製作所,14,2.135238095,5.508179224,0.12,0.641184059,98.06,454.5,0.610027855,-0.162377995,-0.263157895,4.TA・カバー・メイン
41,35557ECB010    ,2023,36,8.816666667,0.316666667,0.341666667,0.89,1,ＴＰ１３１フタナシ,1,2,4.94,46,1.43902439,1.872702703,7.87720329,小川工業（株）,41,2.10416034,3.768564205,0.05,1.088339508,95.285,469.4,0,0,0,4.TA・カバー・メイン
192,35557ECB010    ,2023,37,6.805084746,0.279661017,0.322033898,0.89,1,ＴＰ１３１フタナシ,1,2,4.94,46,1.454545455,1.886923077,7.135451505,小川工業（株）,44,2.120138289,3.211113303,0.05,0.95367925,90.551,445.7,-0.22815674,0.007593503,0.073170732,4.TA・カバー・メイン
346,35557ECB010    ,2023,38,8.258333333,0.308333333,0.325,0.89,1,ＴＰ１３１フタナシ,1,2,4.94,46,1.476190476,1.821621622,7.539365452,小川工業（株）,42,2.046765867,3.688087056,0.05,1.054066297,94.16,430.5,0.213553342,-0.034607375,-0.045454545,4.TA・カバー・メイン
487,35557ECB010    ,2023,39,11.00833333,0.341666667,0.341666667,0.89,1,ＴＰ１３１フタナシ,1,2,4.94,46,1.303030303,1.566666667,7.529644269,小川工業（株）,33,1.760299625,4.922555977,0.05,1.214530337,98.06,454.5,0.332996973,-0.139960435,-0.214285714,4.TA・カバー・メイン
42,35580ECB011    ,2023,36,55.49166667,1.933333333,2.55,0.9,3,ＴＰ３４２フタアリ,1,4,8.04,6,2.456716418,3.581377246,60.81137725,アイシン精機（株）,335,3.979308051,4.037704114,0.14,2.490524418,95.285,469.4,0,0,0,8.ファイナル後半
193,35580ECB011    ,2023,37,32.03333333,2.666666667,2.533333333,0.9,3,ＴＰ３４２フタアリ,1,4,8.04,6,2.453216374,2.002727273,58.8255132,アイシン精機（株）,342,2.225252525,2.409505762,0.14,1.597102171,90.551,445.7,-0.422736147,-0.440794104,0.020895522,8.ファイナル後半
347,35580ECB011    ,2023,38,76.45833333,2.575,2.366666667,0.9,3,ＴＰ３４２フタアリ,1,4,8.04,6,2.446601942,2.860453074,59.39590076,アイシン精機（株）,309,3.178281194,5.695867983,0.14,3.251520719,94.16,430.5,1.386836629,0.428278884,-0.096491228,8.ファイナル後半
488,35580ECB011    ,2023,39,87.13333333,2.291666667,2.591666667,0.9,3,ＴＰ３４２フタアリ,1,4,8.04,6,2.078817734,1.901428571,55.62807882,アイシン精機（株）,203,2.112698413,6.930775445,0.14,3.689089245,98.06,454.5,0.139618529,-0.33527014,-0.343042071,8.ファイナル後半
43,35595ECB010    ,2023,36,9.4,0.375,0.391666667,0.57,1,ＴＰ３３１フタナシ,1,1,1.78,40,1,1.620444444,9.310555556,サトープレス工業（株）,45,2.84288499,3.631679059,0,0.70108641,95.285,469.4,0,0,0,4.TA・カバー・メイン
194,35595ECB010    ,2023,37,7.183333333,0.416666667,0.366666667,0.57,1,ＴＰ３３１フタナシ,1,1,1.78,40,1,1.5208,8.911,サトープレス工業（株）,50,2.668070175,2.899711428,0,0.586094983,90.551,445.7,-0.235815603,-0.061492046,0.111111111,4.TA・カバー・メイン
348,35595ECB010    ,2023,38,7.875,0.391666667,0.358333333,0.57,1,ＴＰ３３１フタナシ,1,1,1.78,40,1,1.57212766,8.628191489,サトープレス工業（株）,47,2.758118701,3.283114215,0,0.638028167,94.16,430.5,0.096287703,0.033750434,-0.06,4.TA・カバー・メイン
489,35595ECB010    ,2023,39,7.725,0.333333333,0.383333333,0.57,1,ＴＰ３３１フタナシ,1,1,1.78,40,1,1.211428571,8.976190476,サトープレス工業（株）,42,2.125313283,3.095719711,0,0.616977313,98.06,454.5,-0.019047619,-0.229433714,-0.106382979,4.TA・カバー・メイン
44,3559850A010    ,2023,36,2.391666667,0.079166667,0.075,0.9,1,ＴＰ１３１フタナシ,1,2,3.92,100,1.421052632,2.131052632,3.834736842,アイコー（株）,19,2.367836257,2.535303626,0.32,0.514956095,95.285,469.4,0,0,0,4.TA・カバー・メイン
195,3559850A010    ,2023,37,2.379166667,0.075,0.075,0.9,1,ＴＰ１３１フタナシ,1,2,3.92,100,1.5,1.9765,3.6865,アイコー（株）,20,2.196111111,2.62346649,0.32,0.511534174,90.551,445.7,-0.005226481,-0.07252408,0.052631579,4.TA・カバー・メイン
349,3559850A010    ,2023,38,2.245833333,0.079166667,0.070833333,0.9,1,ＴＰ１３１フタナシ,1,2,3.92,100,1.526315789,2.033684211,3.617368421,アイコー（株）,19,2.259649123,2.523769418,0.32,0.497600949,94.16,430.5,-0.056042032,0.028932057,-0.05,4.TA・カバー・メイン
490,3559850A010    ,2023,39,3.079069767,0.093023256,0.08372093,0.9,1,ＴＰ１３１フタナシ,1,2,3.92,100,1.333333333,1.47,3.658666667,アイコー（株）,15,1.633333333,3.421066993,0.32,0.566699923,98.06,454.5,0.371014368,-0.277173913,-0.210526316,4.TA・カバー・メイン
45,35771ECB010    ,2023,36,27.69166667,3.641666667,3.825,0.79,3,ＴＰ３４１フタナシ,1,6,4.92,4,3.602362205,0.800142566,92.71894094,アイシン機工（株）,508,1.012838691,3.026984357,0.12,1.197939132,95.285,469.4,0,0,0,2.MGケース
196,35771ECB010    ,2023,37,19.45217391,3.904347826,3.852173913,0.79,3,ＴＰ３４１フタナシ,1,6,4.92,4,3.583497053,0.80861991,87.61142534,アイシン機工（株）,509,1.023569506,2.250281975,0.12,0.916139788,90.551,445.7,-0.297544126,0.010594791,0.001968504,2.MGケース
350,35771ECB010    ,2023,38,25.93333333,3.591666667,3.608333333,0.79,3,ＴＰ３４１フタナシ,1,6,4.92,4,3.552742616,0.814118943,86.76101322,アイシン機工（株）,474,1.030530307,3.029446385,0.12,1.188094661,94.16,430.5,0.333184324,0.006800517,-0.068762279,2.MGケース
491,35771ECB010    ,2023,39,50.8,4.066666667,3.825,0.79,3,ＴＰ３４１フタナシ,1,6,4.92,4,3.350348028,0.880046404,88.94315545,アイシン機工（株）,431,1.11398279,5.788695738,0.12,2.027158112,98.06,454.5,0.958868895,0.080980134,-0.0907173,2.MGケース
46,35771ECE010    ,2023,36,48.85833333,3.175,3.333333333,0.79,2,ＴＰ３４１フタナシ,1,6,4.92,6,3.615909091,1.234447059,79.70470588,アイシン機工（株）,440,1.562591214,6.21275501,0.12,2.080662155,95.285,469.4,0,0,0,2.MGケース
197,35771ECE010    ,2023,37,48.025,3.2,3.166666667,0.79,2,ＴＰ３４１フタナシ,1,6,4.92,6,3.61784897,1.43237467,75.64819701,アイシン機工（株）,437,1.813132494,6.434255992,0.12,2.104080351,90.551,445.7,-0.017056115,0.160337059,-0.006818182,2.MGケース
