,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,AVAILABLE_RATE,KAKO_CNT
91,9031150A015    ,2023,36,5.683333333333334,0.43333333333333335,0.43333333333333335,0.53,1.0,サンボックス＃２４Ｂフタナシ,1.0,2.0,3.52,84.0,1.537037037037037,1.4577777777777778,10.056437389770723,ＮＯＫ（株）,54,2.750524109014675,2.5006363238484868,0.03,0.7076147873512378,95.285,469.4
92,9033904A002    ,2023,36,2.575,0.041666666666666664,0.025,0.61,1.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,1000.0,1.0,4.718,0.9256,サトープレス工業（株）,5,7.7344262295081965,10.007119628411358,0.0,0.2345386726616183,95.285,469.4
93,9033904A003    ,2023,36,3.191666666666667,0.016666666666666666,0.025,0.6,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,2000.0,1.0,9.933333333333334,0.389,サトープレス工業（株）,3,16.555555555555557,29.51366413296098,0.0,0.1066658142029763,95.285,469.4
94,9034108A006    ,2023,36,3.0840336134453783,0.12605042016806722,0.14285714285714285,0.53,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,1000.0,1.4705882352941178,2.7558823529411764,3.350941176470588,（株）杉浦製作所,17,5.199778024417314,8.935422121758103,0.12,0.28612987404427376,95.285,469.4
95,9034108A010    ,2023,36,1.34,0.04,0.03,0.47,1.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,1000.0,1.5,5.065,0.6164999999999999,（株）杉浦製作所,4,10.776595744680852,21.10252836636509,0.12,0.0624953263570776,95.285,469.4
96,9034114A004    ,2023,36,1.0786516853932584,0.033707865168539325,0.02247191011235955,0.5,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.5,3.6225,0.8254999999999999,（株）青山製作所,4,7.245,11.597615417515566,0.08,0.09159377486112975,95.285,469.4
97,9034118A024    ,2023,36,4.525,0.09166666666666666,0.1,0.52,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,2.9166666666666665,3.2345454545454544,2.3677272727272727,（株）青山製作所,12,6.22027972027972,16.962562519808117,0.08,0.2589328974823081,95.285,469.4
98,9036324A003    ,2023,36,7.291666666666667,0.7166666666666667,0.7,0.74,1.0,テンバコ１０フタナシ,1.0,8.0,9.0,22.0,4.423913043478261,0.9379761904761904,16.66720779220779,日本精工（株）,92,1.2675353925353925,3.4998863673257365,0.09,1.1363669898040933,95.285,469.4
99,9036324A004    ,2023,36,18.825,1.225,1.2083333333333333,0.74,1.0,テンバコ１０フタナシ,1.0,8.0,9.0,30.0,4.519230769230769,1.0924475524475525,28.31655011655012,日本精工（株）,156,1.4762804762804764,5.318444492006782,0.09,1.8323235132171574,95.285,469.4
100,9036324A005    ,2023,36,18.0,0.9333333333333333,0.9416666666666667,0.69,1.0,サンボックス＃Ｋ１０Ｂフタナシ,1.0,8.0,9.0,22.0,4.541666666666667,1.3192660550458717,21.664720600500416,日本精工（株）,120,1.9119797899215534,6.646750846935633,0.09,1.7244555757477025,95.285,469.4
101,9036340A010    ,2023,36,15.208333333333334,0.9083333333333333,0.8833333333333333,0.74,3.0,ｻﾝﾎﾞｯｸｽ＃K-10Bﾌﾀﾅｼ,1.0,8.0,9.0,80.0,4.6,1.3323584905660377,21.118396226415097,日本精工（株）,115,1.8004844467108618,5.761169804858798,0.09,1.6081750669783565,95.285,469.4
102,9036345A004    ,2023,36,15.733333333333333,0.2916666666666667,0.39166666666666666,0.64,1.0,サンボックス＃９Ｂフタナシ,1.0,1.0,2.29,90.0,1.0,2.2016666666666667,9.22337962962963,岡谷鋼機（株）,48,3.4401041666666665,5.184832868703612,0.0,1.0581027431901877,95.285,469.4
103,9036628A005    ,2023,36,7.441666666666666,0.25,0.25833333333333336,0.62,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,60.0,1.0,1.9143333333333337,5.913333333333333,（株）ジェイテクト,30,3.087634408602151,4.3395016133421445,0.0,0.7054714441389632,95.285,469.4
104,9036628A006    ,2023,36,6.675,0.16666666666666666,0.19166666666666668,0.62,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,80.0,1.0,2.46,4.605357142857143,（株）ジェイテクト,21,3.967741935483871,4.997927558128652,0.0,0.67879842615803,95.285,469.4
105,9036628A007    ,2023,36,10.483333333333333,0.275,0.275,0.57,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,72.0,1.0,2.4863636363636368,6.60942760942761,（株）ジェイテクト,33,4.362041467304627,5.469373056721766,0.0,0.844798413150118,95.285,469.4
106,9036628A008    ,2023,36,8.308333333333334,0.2,0.2,0.58,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,100.0,1.0,2.7758333333333334,4.774583333333333,（株）ジェイテクト,24,4.7859195402298855,6.000403236727043,0.0,0.7543624269898153,95.285,469.4
107,9036630A017    ,2023,36,14.291666666666666,0.5,0.48333333333333334,0.6,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,72.0,1.0,2.0283333333333338,11.895138888888889,（株）ジェイテクト,60,3.3805555555555564,4.143004100728548,0.0,0.8592408253114844,95.285,469.4
108,9036630A018    ,2023,36,21.783333333333335,0.9666666666666667,0.9333333333333333,0.34,3.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,38.0,1.0,1.576842105263158,22.21975992613112,（株）ジェイテクト,115,4.637770897832818,3.3805469896368305,0.0,0.8155101954075036,95.285,469.4
109,9036652A003    ,2023,36,11.891666666666667,0.3416666666666667,0.3333333333333333,0.57,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,60.0,1.0,2.3826829268292684,7.897967479674796,（株）ジェイテクト,41,4.180145485665384,5.191936689023341,0.0,0.8818569370242804,95.285,469.4
110,9036652A004    ,2023,36,9.95,0.31666666666666665,0.30833333333333335,0.57,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,63.0,1.0,2.035526315789474,7.4448621553884715,（株）ジェイテクト,38,3.5710987996306565,4.608593700120147,0.0,0.8007597825607612,95.285,469.4
111,9036658A001    ,2023,36,8.591666666666667,0.3333333333333333,0.3333333333333333,0.57,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,45.0,1.0,1.53,8.184444444444445,（株）ジェイテクト,40,2.68421052631579,3.619847013772505,0.0,0.7034557696878699,95.285,469.4
112,9036658A002    ,2023,36,9.398305084745763,0.4067796610169492,0.423728813559322,0.59,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,36.0,1.0,1.6833333333333336,10.161458333333334,（株）ジェイテクト,48,2.853107344632769,3.18930093545518,0.0,0.6781455290734574,95.285,469.4
113,9036659A009    ,2023,36,26.341666666666665,0.9833333333333333,0.9666666666666667,0.59,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,36.0,1.0,1.6876666666666666,23.35300925925926,（株）ジェイテクト,121,2.86045197740113,3.88957724141349,0.0,0.9271892628133739,95.285,469.4
114,9036659A010    ,2023,36,27.658333333333335,1.0083333333333333,0.975,0.59,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,36.0,1.0,1.8259504132231408,23.354224058769514,（株）ジェイテクト,121,3.094831208852781,4.0837821448654825,0.0,0.9668813034899647,95.285,469.4
115,9050827A011    ,2023,36,3.075,0.075,0.075,0.78,1.0,ＴＰ３３１フタナシ,1.0,8.0,11.12,200.0,5.2,2.497777777777778,1.7922222222222222,（株）東郷製作所,10,3.202279202279202,11.325063070473199,0.08,0.26420472065843154,95.285,469.4
116,9052409A003    ,2023,36,1.6416666666666666,0.025,0.03333333333333333,0.78,1.0,ＴＰ３３１フタナシ,1.0,8.0,11.12,500.0,4.666666666666667,5.8500000000000005,0.7693333333333333,（株）東郷製作所,3,7.5,14.085030686777516,0.08,0.1154504539871589,95.285,469.4
117,9056439A005    ,2023,36,10.4,0.15,0.15833333333333333,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,4.777777777777778,3.0411111111111113,（株）ムロコーポレーション,22,5.137395459976105,19.76764568607036,0.0,0.45294564670575677,95.285,469.4
118,9056439A006    ,2023,36,6.091666666666667,0.016666666666666666,0.025,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,6.595000000000001,1.19,（株）ムロコーポレーション,2,7.091397849462366,29.58987063033306,0.0,0.19752889057583461,95.285,469.4
119,9056450A002    ,2023,36,5.825,0.10833333333333334,0.13333333333333333,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,2.8123076923076926,0.7553846153846154,（株）ムロコーポレーション,17,3.02398676592225,44.574008452727114,0.0,0.1283968338514239,95.285,469.4
120,9056450A003    ,2023,36,10.441666666666666,0.016666666666666666,0.008333333333333333,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,17.3,2.26,（株）ムロコーポレーション,1,18.602150537634408,26.706395894078128,0.0,0.3590744011567675,95.285,469.4
121,9056451A084    ,2023,36,8.091666666666667,0.041666666666666664,0.041666666666666664,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,10.129999999999999,0.89,（株）ムロコーポレーション,3,10.892473118279568,52.55352774349981,0.0,0.15127995942325648,95.285,469.4
122,9056451A085    ,2023,36,8.875,0.03333333333333333,0.03333333333333333,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,17.7475,0.71,（株）ムロコーポレーション,5,19.083333333333332,72.25433526011561,0.0,0.12157561682675427,95.285,469.4
123,9056451A086    ,2023,36,9.616666666666667,0.016666666666666666,0.008333333333333333,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,20.755000000000003,0.53,（株）ムロコーポレーション,2,22.31720430107527,104.88239357254517,0.0,0.0912060658152687,95.285,469.4
124,9056451A087    ,2023,36,5.208333333333333,0.008333333333333333,0.008333333333333333,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,18.18,0.16,（株）ムロコーポレーション,1,19.548387096774192,188.16233140655106,0.0,0.02765530806660154,95.285,469.4
125,9056455A043    ,2023,36,9.0,0.025,0.025,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,20.919999999999998,0.55,（株）ムロコーポレーション,2,22.494623655913976,94.58749343142405,0.0,0.09457259098625805,95.285,469.4
126,9056455A044    ,2023,36,5.891666666666667,0.025,0.03333333333333333,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,16.356666666666666,0.4666666666666666,（株）ムロコーポレーション,4,17.58781362007168,72.97687861271677,0.0,0.08019486846208336,95.285,469.4
127,9056457A134    ,2023,36,7.475,0.008333333333333333,0.008333333333333333,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,16.57,1.14,（株）ムロコーポレーション,1,17.817204301075268,37.90183551363959,0.0,0.19118216442513622,95.285,469.4
128,9056457A135    ,2023,36,10.841666666666667,0.025,0.025,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,18.166666666666668,1.71,（株）ムロコーポレーション,4,19.53405017921147,36.64830026253817,0.0,0.28201339598654096,95.285,469.4
129,9056457A136    ,2023,36,4.866666666666666,0.041666666666666664,0.05,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,6.034000000000001,0.9640000000000001,（株）ムロコーポレーション,7,6.488172043010753,29.18155725581432,0.0,0.1611812211853663,95.285,469.4
130,9056457A137    ,2023,36,1.7916666666666667,0.041666666666666664,0.058333333333333334,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,2.734,0.492,（株）ムロコーポレーション,7,2.939784946236559,21.049704716700344,0.0,0.08307712842799861,95.285,469.4
131,9056457A138    ,2023,36,1.4482758620689655,0.02586206896551724,0.02586206896551724,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,4.36,0.12666666666666668,（株）ムロコーポレーション,4,4.688172043010753,66.09107980235619,0.0,0.021869324064468728,95.285,469.4
132,9056463A032    ,2023,36,5.008333333333334,0.025,0.025,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,13.586666666666666,0.36000000000000004,（株）ムロコーポレーション,3,14.60931899641577,80.41639905801756,0.0,0.06198862039603643,95.285,469.4
133,9056463A033    ,2023,36,2.216666666666667,0.041666666666666664,0.041666666666666664,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,5.62,0.10600000000000001,（株）ムロコーポレーション,6,6.043010752688172,120.87832188170282,0.0,0.01832113062419523,95.285,469.4
134,9056463A034    ,2023,36,1.9083333333333334,0.041666666666666664,0.05,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,3.318,0.046,（株）ムロコーポレーション,6,3.5677419354838706,239.80061992125326,0.0,0.007956397443690278,95.285,469.4
135,9056463A035    ,2023,36,1.4083333333333334,0.03333333333333333,0.03333333333333333,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,4.0275,0.0,（株）ムロコーポレーション,5,4.330645161290322,inf,0.0,0.0,95.285,469.4
136,9056463A036    ,2023,36,1.054054054054054,0.02702702702702703,0.013513513513513514,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,4.78,0.0,（株）ムロコーポレーション,2,5.139784946236559,inf,0.0,0.0,95.285,469.4
137,9056463A037    ,2023,36,1.0,0.013157894736842105,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100.0,1.0,12.63,0.0,（株）ムロコーポレーション,1,13.580645161290322,inf,0.0,0.0,95.285,469.4
138,9094906A012    ,2023,36,7.233333333333333,0.23333333333333334,0.24166666666666667,0.59,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,2.34,500.0,1.4,2.298,6.121333333333333,中庸スプリング（株）,30,3.8949152542372882,7.0758070006795375,0.1,0.6926794728073318,95.285,469.4
139,G1144ECB010    ,2023,36,47.641666666666666,2.058333333333333,2.566666666666667,0.63,2.0,ＴＰ３３１フタナシ,1.0,1.0,2.28,6.0,1.0,1.6896855345911952,61.70754716981132,住友電気工業（株）,318,2.6820405310971354,2.353828508855338,0.0,0.7095155686873352,95.285,469.4
140,G1144ECE010    ,2023,36,75.75833333333334,2.558333333333333,2.4916666666666667,0.58,2.0,ＴＰ３３１フタアリ,1.0,1.0,1.79,8.0,1.0,1.9741479099678458,59.353697749196144,矢崎総業（株）,311,3.4037032930480104,4.574866524234697,0.0,1.1324750532892913,95.285,469.4
141,G1163ECB010    ,2023,36,2.0707070707070705,0.40404040404040403,0.3434343434343434,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,80.0,3.42,0.8808510638297872,8.709574468085107,（株）青山製作所,50,1.631205673758865,2.110212951039402,0.08,0.518028065932922,95.285,469.4
142,G1163ECE010    ,2023,36,8.833333333333334,0.75,0.7666666666666667,0.53,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,100.0,3.4757281553398056,1.0651515151515152,18.566666666666666,（株）青山製作所,103,2.009719839908519,4.222748664124165,0.08,1.071287976040473,95.285,469.4
143,G117362010     ,2023,36,66.55833333333334,1.9416666666666667,1.9833333333333334,0.85,1.0,ＴＰ３３１．５フタナシ,1.0,1.0,3.05,18.0,1.0,2.4869230769230772,46.73100664767331,多摩川精機販売（株）,234,2.92579185520362,3.5167563375010378,0.0,1.265745031819392,95.285,469.4
144,G1174ECB010    ,2023,36,10.116666666666667,0.225,0.3,0.85,1.0,ＴＰ３６２フタナシ,1.0,1.0,2.28,50.0,1.0,2.3634285714285714,7.233714285714286,住友電装（株）,35,2.7805042016806722,4.263853217961835,0.0,0.8530610216960478,95.285,469.4
145,G1174ECE010    ,2023,36,17.641666666666666,0.3,0.4083333333333333,0.87,1.0,ＴＰ３６２フタナシ,1.0,1.0,2.28,50.0,1.0,3.127708333333333,9.529583333333333,住友電装（株）,48,3.5950670498084287,5.644063042877816,0.0,1.127254003064223,95.285,469.4
146,G1250ECB010    ,2023,36,5.541666666666667,0.15,0.15833333333333333,0.87,1.0,ＴＰ３３２フタナシ,1.0,2.0,6.2,60.0,1.4444444444444444,2.4499999999999997,3.6657407407407407,（株）バルカー,18,2.8160919540229883,4.19929275069462,0.24,0.8915953833919714,95.285,469.4
147,G1250ECC010    ,2023,36,4.783333333333333,0.08333333333333333,0.09166666666666666,0.87,1.0,ＴＰ３３２フタナシ,1.0,2.0,6.2,60.0,1.6363636363636365,3.821818181818182,2.3954545454545455,（株）バルカー,11,4.392894461859979,5.546770679598002,0.24,0.6968450920139797,95.285,469.4
148,G1250ECE010    ,2023,36,14.883333333333333,0.3416666666666667,0.3333333333333333,0.88,1.0,ＴＰ３３２フタナシ,1.0,2.0,6.2,60.0,1.4878048780487805,2.870731707317073,7.61788617886179,（株）バルカー,41,3.2621951219512195,5.427042570852602,0.24,1.5476259848265828,95.285,469.4
149,G9201ECB030    ,2023,36,39.625,2.3833333333333333,1.9,0.78,2.0,Ｔ２０３フタナシ,1.0,2.0,5.82,8.0,1.4335443037974684,4.176297468354431,46.78243670886076,佐藤工業（株）,316,5.354227523531321,2.4838882755127325,0.05,1.4044332294470798,95.285,469.4
150,G9201ECE010    ,2023,36,38.675,2.55,2.4833333333333334,0.86,2.0,サンボックス＃２０Ｂフタナシ,1.0,2.0,5.82,8.0,1.4148148148148147,5.470617283950617,59.965123456790124,佐藤工業（株）,405,6.361182888314671,1.8913731140588081,0.05,1.1090499011960242,95.285,469.4
151,019128GA010    ,2023,37,40.166666666666664,0.7333333333333333,0.6833333333333333,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.5,3.549347826086956,16.140434782608697,石黒ゴム工業（株）,92,3.317147501015847,10.726612153880495,0.29,2.0489171277688363,90.551,445.7
152,01912ECB010    ,2023,37,12.9,0.23333333333333334,0.23333333333333334,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.4666666666666666,3.6086666666666662,5.328666666666667,石黒ゴム工業（株）,30,4.245490196078431,10.434776981583022,0.29,0.9651683717099936,90.551,445.7
153,01912ECB040    ,2023,37,26.675,0.7666666666666667,0.675,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.2734408602150533,16.244086021505378,愛産樹脂工業（株）,93,9.093763440860213,5.263256717466685,0.0,1.1951407415274962,90.551,445.7
154,01912ECB060    ,2023,37,1.6333333333333333,0.041666666666666664,0.03333333333333333,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,4.078,0.9390000000000001,新光ゴム工業（株）,5,5.228205128205128,4.092797928543089,0.0,0.32160157509567094,90.551,445.7
155,1040043104R    ,2023,37,3.375,0.08333333333333333,0.06666666666666667,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.5,5.3028571428571425,1.4962857142857142,（株）ギフ加藤製作所,10,7.07047619047619,9.398271911399656,0.12,0.3301951244889112,90.551,445.7
156,1040052001Z    ,2023,37,3.1083333333333334,0.07083333333333333,0.07083333333333333,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,2.9166666666666665,3.6199999999999997,2.25125,（株）青山製作所,12,6.830188679245282,12.254861697479045,0.08,0.2439318034022573,90.551,445.7
157,1040183011P    ,2023,37,1.0,0.1774193548387097,0.0,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.0833333333333335,1.4816666666666667,2.109,（株）青山製作所,12,2.743827160493827,4.208506232797731,0.08,0.21434130985306246,90.551,445.7
158,2030044001J    ,2023,37,1.0085470085470085,0.03418803418803419,0.02564102564102564,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,2.0,4.898000000000001,0.9595,ＮＯＫ（株）,5,9.070370370370371,4.650961316259891,0.03,0.1947495845385347,90.551,445.7
159,2030045013L    ,2023,37,2.466666666666667,0.03333333333333333,0.058333333333333334,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,1.0,6.621666666666667,1.1115,伊藤金属工業（株）,6,12.4937106918239,7.49737591842855,0.0,0.28468816892023435,90.551,445.7
160,2030052002N    ,2023,37,2.3916666666666666,0.13333333333333333,0.125,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,1.4444444444444444,2.976111111111111,2.628148148148148,（株）杉浦製作所,18,5.952222222222222,8.835143004126488,0.12,0.23263826725845338,90.551,445.7
161,3040052001B    ,2023,37,2.094488188976378,0.23622047244094488,0.18110236220472442,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.1875,1.3820689655172413,7.713517241379311,（株）青山製作所,32,2.6578249336870026,2.4100719909061463,0.08,0.5131871486751659,90.551,445.7
162,33490ECB010    ,2023,37,39.28813559322034,3.76271186440678,3.694915254237288,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.503968253968254,1.183061630218688,88.22067594433399,マレリ（株）,504,1.4427580856325464,1.8103224278841024,0.23,0.7805844055087074,90.551,445.7
163,33490ECE010    ,2023,37,77.775,4.933333333333334,4.9,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.502248875562219,1.4831934032983507,115.29010494752623,マレリ（株）,667,1.8311029670350008,2.7422868313743316,0.23,1.1757041776553845,90.551,445.7
164,34989ECB010    ,2023,37,2.191666666666667,0.016666666666666666,0.016666666666666666,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,8.055,0.234,（株）槌屋,2,9.944444444444443,28.126417015305904,0.0,0.07724720243767247,90.551,445.7
165,34989ECB020    ,2023,37,5.8,0.06666666666666667,0.075,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,6.7829999999999995,1.5614000000000001,（株）槌屋,10,8.374074074074073,11.15500026733535,0.0,0.45332083930098815,90.551,445.7
166,34989ECB030    ,2023,37,3.55,0.03333333333333333,0.03333333333333333,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000.0,1.0,7.286,0.7078,（株）槌屋,5,9.107499999999998,15.061685024951482,0.0,0.22461424050462542,90.551,445.7
167,34989ECC010    ,2023,37,2.716666666666667,0.008333333333333333,0.008333333333333333,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,16.28,0.0,（株）槌屋,1,20.871794871794872,inf,0.0,0.0,90.551,445.7
168,34989ECE020    ,2023,37,1.7166666666666666,0.025,0.016666666666666666,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,9.323333333333332,0.3,（株）槌屋,3,11.369918699186991,17.18385051718385,0.0,0.09810168187795547,90.551,445.7
169,35145ECB010    ,2023,37,6.808333333333334,0.175,0.14166666666666666,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,3.0666666666666664,3.4177777777777774,三共鋼業（株）,21,4.946236559139785,7.270201133332701,0.0,0.6269837204698018,90.551,445.7
170,35145ECE010    ,2023,37,6.691666666666666,0.21666666666666667,0.19166666666666668,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,2.6028571428571428,4.745238095238095,三共鋼業（株）,26,4.004395604395604,5.146662955380327,0.0,0.660633726216463,90.551,445.7
171,35145ECE020    ,2023,37,4.825,0.2,0.19166666666666668,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100.0,2.3846153846153846,2.3134615384615382,4.62,（株）浅賀井製作所,26,3.5591715976331355,5.301382204935504,0.13,0.7215080359006539,90.551,445.7
172,35165ECE010    ,2023,37,4.166666666666667,0.09166666666666666,0.09166666666666666,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200.0,1.0,3.4292307692307693,2.2946153846153843,（株）松尾製作所,13,5.443223443223443,8.216494777595921,0.0,0.3921258273627471,90.551,445.7
173,35174ECB010    ,2023,37,13.691666666666666,0.6916666666666667,0.75,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20.0,2.55,1.5206,17.692999999999998,（株）浅賀井製作所,100,1.7478160919540229,3.9281549778832687,0.13,1.4824150245372987,90.551,445.7
174,35174ECE010    ,2023,37,14.683333333333334,0.4583333333333333,0.475,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40.0,2.5076923076923077,2.5172307692307694,11.532692307692308,（株）浅賀井製作所,65,2.893368700265252,6.462904323001884,0.13,1.479770178825978,90.551,445.7
175,35174ECE020    ,2023,37,7.941666666666666,0.21666666666666667,0.21666666666666667,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90.0,2.6206896551724137,2.446206896551724,5.166283524904214,（株）浅賀井製作所,29,3.8828680897646413,7.803100346791912,0.13,0.8491049994632497,90.551,445.7
176,3519510A010    ,2023,37,2.475,0.03333333333333333,0.025,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600.0,1.0,4.8175,0.6345833333333333,中庸スプリング（株）,4,7.646825396825396,23.354472932008605,0.1,0.10441498728001106,90.551,445.7
177,35195ECE010    ,2023,37,7.516666666666667,0.10833333333333334,0.1,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400.0,1.0,4.723000000000001,2.5075,三共鋼業（株）,13,7.617741935483872,10.940414765436053,0.0,0.5537837028873882,90.551,445.7
178,35195TFG010    ,2023,37,5.491666666666666,0.10833333333333334,0.1,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400.0,1.0,2.942,2.2329999999999997,三共鋼業（株）,13,4.745161290322581,8.975628784337568,0.0,0.48511761691459304,90.551,445.7
179,35198ECE010    ,2023,37,5.641666666666667,0.10833333333333334,0.1,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200.0,1.0,3.457692307692308,2.318076923076923,サトープレス工業（株）,13,5.961538461538463,8.754569266438516,0.0,0.5042357274786222,90.551,445.7
180,35300ECB010    ,2023,37,131.25833333333333,2.7333333333333334,2.825,0.91,3.0,TP341ﾌﾀﾅｼ,1.0,4.0,8.04,12.0,2.4910025706940875,3.256066838046272,67.35175664095972,アイシン精機（株）,389,3.5780954264244746,8.623221048885277,0.14,4.553036196572612,90.551,445.7
181,35312ECB010    ,2023,37,4.579831932773109,0.25210084033613445,0.226890756302521,0.59,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.9,63.0,1.0,1.7653333333333334,5.565608465608466,（株）旭工業所,30,2.9920903954802265,2.837519743564576,0.0,0.527544794476377,90.551,445.7
182,35352ECB010    ,2023,37,1.565217391304348,0.034782608695652174,0.008695652173913044,0.64,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.97,504.0,1.0,5.550000000000001,0.7385912698412699,五興商事（株）,4,8.671875000000002,7.135329703729855,0.0,0.19785702990735768,90.551,445.7
183,3539450A010    ,2023,37,2.459227467811159,0.02575107296137339,0.017167381974248927,0.71,3.0,サンボックスＣ３フタナシ,1.0,1.0,1.88,2000.0,1.0,6.586666666666666,0.8773333333333334,ミズショー（株）,3,9.276995305164318,9.732884798518075,0.0,0.23082484458479477,90.551,445.7
