="タイトル：かんばん手配品番一覧"

="ダウンロード日時：2023/07/12 13:19:36"

="手配担当工場：＜第１＞；手配担当整備室：＜第１工場＞；発注区分：＜かんばん＞；手配区分：＜仕入先手配：指定あり；仕入先直送：指定あり；仕入先支給：指定なし；他工場手配：指定なし；受給手配：指定なし；＞;品番上位桁：＜＞；仕入先ｺｰﾄﾞ：＜＞；"

="検索件数：＜  161＞；"
="IX000 処理が正常に完了しました；"

="品番",="加工図符号",="類別",="品名",="整備室",="整備室名",="手配区分",="工程内外製",="工程ｺｰﾄﾞ",="仕入先名/工場名",="発送場所",="発送場所名",="受給区分",="資材区分",="後工程内外製",="後工程ｺｰﾄﾞ",="後工程仕入先名/工場名",="受入場所",="受入場所名",="中継区分",="中継工場",="中継場所",="中継場所名","納入ｻｲｸﾙ.間隔","納入ｻｲｸﾙ.回数","納入ｻｲｸﾙ.情報","基準在庫.日数","基準在庫.枚数","MIN在庫日数","MAX在庫日数","便平均上限振れ率","便平均下限振れ率",="かんばん情報.仕入先",="かんばん情報.仕入先名",="かんばん情報.背番号",="かんばん情報.工場置場所",="かんばん情報.拠点置場所",="かんばん情報.品名略ｺｰﾄﾞ",="かんばん情報.品名略名",="かんばん情報.通箱ｺｰﾄﾞ",="かんばん情報.通箱名","かんばん情報.収容数",="かんばん情報.ｺﾝﾍﾞｱ区分",="かんばん情報.ﾌﾞﾛｯｸ区分",="かんばん情報.専用品区分",="かんばん情報.不良率","かんばん情報.保証率",="かんばん情報.設変符号",="かんばん情報.部品大別区分",="かんばん情報.部品大別名称",="かんばん情報.発注形態区分",="かんばん情報.発注形態名称",="かんばん情報.PLコード",="登録箱種",="縦(mm)",="横(mm)",="高(mm)",="容積(m3)",="総重量(Kg)",="パレタイズ発注",="箱数",="設定計画NO",="設定日",="設定担当部署コード",="担当部署名",="設定担当者コード",="担当者名"
="01912-0LC070",="",="","CAP, SHIPPING",="1Z",="第１工場",="手配",="Ｐ",="0208",="石黒ゴム工業（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","02"," 3.64","  1.68"," 4.0","  1.18","  1.18","1.10","0.50",="010",="石黒ゴム工業（株）",="224",="M-T-17-4",="20117",="9998",="ｷｬｯﾌﾟｼｯﾋﾟﾝｸﾞ",="014",="TP-331 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331",=" 335.000",=" 335.000",=" 105.000",="   0.012",="   0.900",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="01912-TFA050",="",="","CAP, SHIPPING",="1Z",="第１工場",="手配",="Ｐ",="0208",="石黒ゴム工業（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","02"," 3.64","  1.68"," 4.0","  1.18","  1.18","1.10","0.50",="010",="石黒ゴム工業（株）",="225",="M-T-16-3",="10118",="1913",="ｼﾂﾋﾟﾝｸﾞｷﾔﾂﾌﾟ",="012",="TP-131 ﾊﾝﾖｳ","    150",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   1.270",="しない",="",="MASTER01",="2023/05/26",="NE00",="１工工務Ｇ",="41943",="伊藤　真和"
="82821-0LC020",="",="","COVER, MOTOR TERMINAL",="1Z",="第１工場",="手配",="Ｐ",="0208",="石黒ゴム工業（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","02"," 3.64","  1.68"," 4.0","  1.18","  1.18","1.10","0.50",="010",="石黒ゴム工業（株）",="226",="M-T-17-2",="30119",="0257","ｶﾊﾞｰ,ﾓｰﾀｰﾀｰﾐﾅﾙ",="016",="TP-332 ﾊﾝﾖｳ","    100",="",="",="1",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP332",=" 335.000",=" 335.000",=" 195.000",="   0.022",="   2.200",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="90364-14A016",="",="","BEARING, NEEDLE ROLLER",="1Z",="第１工場",="手配",="Ｐ",="0715",="ＮＴＮ（株）",="01",="磐田",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 2.08","  1.37"," 2.0","  0.87","  0.87","1.10","0.50",="625",="ＮＴＮ（株）",="163",="R-T-8-3",="40028",="1311",="ﾍﾞｱﾘﾝｸﾞﾆ-ﾄﾞﾙﾛ-ﾗ-",="067",="PT- 9 ｾﾝﾖｳ","   1200",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="その他",=" 371.000",=" 282.000",=" 124.000",="   0.013",="   9.900",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35198-0LC030",="",="","BRACKET, WIRE HARNESS CLAMP",="1Z",="第１工場",="手配",="Ｐ",="0817",="盟和精工（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 2.42","  1.41"," 4.0","  0.91","  0.91","1.10","0.50",="013",="盟和精工（株）",="246",="M-T-3-3",="20011",="0019",="ﾌﾞﾗｹｯﾄﾜｲﾔｰﾊｰﾈｽｸﾗﾝﾌﾟ",="014",="TP-331 ﾊﾝﾖｳ","     50",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   1.740",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35198-0LC040",="",="","BRACKET, WIRE HARNESS CLAMP",="1Z",="第１工場",="手配",="Ｐ",="0817",="盟和精工（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 2.42","  1.41"," 4.0","  0.91","  0.91","1.10","0.50",="013",="盟和精工（株）",="247",="M-T-3-4",="20012",="0019",="ﾌﾞﾗｹｯﾄﾜｲﾔｰﾊｰﾈｽｸﾗﾝﾌﾟ",="014",="TP-331 ﾊﾝﾖｳ","    200",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   3.370",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35240-0LC020",="",="","SOLENOID ASSY, TRANSMISSION 3WAY",="1Z",="第１工場",="手配",="Ｐ",="0831",="岡谷鋼機（株）",="01",="刈谷支店",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 1.73","  1.34"," 4.0","  0.84","  0.84","1.10","0.50",="109",="岡谷鋼機（株）",="210",="V-S-5-1",="40105",="1402",="ｿﾚﾉｲﾄﾞASSYT/M3WAY",="109",="ｻﾝﾎﾞｯｸｽ#9T","    100",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ｻﾝﾎﾞｯｸｽ＃9T",=" 367.000",=" 270.000",=" 136.000",="   0.013",="   6.820",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="90363-66A001",="",="","BEARING, RADIAL BALL",="1Z",="第１工場",="手配",="Ｐ",="0831",="岡谷鋼機（株）",="01",="刈谷支店",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 1.73","  1.34"," 7.0","  0.84","  0.84","1.10","0.50",="109",="岡谷鋼機（株）",="208",="F-S-2-1",="40004",="9118",="ﾍﾞｱﾘﾝｸﾞﾗｼﾞｱﾙﾎﾞｰﾙ",="109",="ｻﾝﾎﾞｯｸｽ#9T","     48",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ｻﾝﾎﾞｯｸｽ＃9T",=" 291.000",=" 123.000",="  80.000",="   0.003",="   8.860",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35245-0LC010",="",="","VALVE, CLUTCH APPLY RELAY",="1Z",="第１工場",="手配",="Ｐ",="1014",="（株）ギフ加藤製作所",="01",="本社工場（ＡＷ発行拠点）",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","02"," 3.78","  1.49"," 3.0","  0.99","  0.99","1.10","0.50",="015",="（株）ギフ加藤製作所",="103",="V-S-2-3",="10097",="7008",="ﾊﾞﾙﾌﾞｸﾗｯﾁｱﾌﾟﾗｲﾘﾚｰ",="052",="AW-131 ﾊﾝﾖｳ","    168",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="AW131",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   1.720",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35275-TBG010",="",="","VALVE, SOLENOID MODULATOR",="1Z",="第１工場",="手配",="Ｐ",="1014",="（株）ギフ加藤製作所",="01",="本社工場（ＡＷ発行拠点）",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","02"," 3.78","  1.49"," 3.0","  0.99","  0.99","1.10","0.50",="015",="（株）ギフ加藤製作所",="104",="V-S-2-1",="10101",="7032",="ﾊﾞﾙﾌﾞｿﾚﾉｲﾄﾞﾓｼﾞﾕﾚ-ﾀ-",="052",="AW-131 ﾊﾝﾖｳ","    140",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="AW131",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   1.560",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35419-TRA010",="",="","VALVE, BY-PASS",="1Z",="第１工場",="手配",="Ｐ",="1014",="（株）ギフ加藤製作所",="01",="本社工場（ＡＷ発行拠点）",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","02"," 3.78","  1.49"," 5.0","  0.99","  0.99","1.10","0.50",="015",="（株）ギフ加藤製作所",="101",="V-S-4-3",="10089",="7051",="ﾊﾞﾙﾌﾞﾊﾞｲﾊﾟｽ",="052",="AW-131 ﾊﾝﾖｳ","    500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   2.200",="しない",="",="MASTER01",="2023/05/26",="NE00",="１工工務Ｇ",="41943",="伊藤　真和"
="35421-0LC040",="",="","PISTON, DAMPER",="1Z",="第１工場",="手配",="Ｐ",="1014",="（株）ギフ加藤製作所",="01",="本社工場（ＡＷ発行拠点）",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","02"," 3.78","  1.49"," 5.0","  0.99","  0.99","1.10","0.50",="015",="（株）ギフ加藤製作所",="102",="V-T-1-1",="10094",="1249",="ﾋﾟｽﾄﾝﾀﾞﾝﾊﾟｰ",="052",="AW-131 ﾊﾝﾖｳ","    200",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="AW131",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   4.000",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35789-0LC160",="",="","RACE, THRUST BEARING",="1Z",="第１工場",="手配",="Ｐ",="1814",="（株）ジェイテクト",="07",="ＵＫＫ工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 1.94","  1.36"," 1.0","  0.86","  0.86","1.10","0.50",="021",="㈱ジェイテクト",="107",="M-T-1-2",="40022",="0181",="ﾚ-ｽｽﾗｽﾄﾍﾞｱﾘﾝｸﾞ",="067",="PT- 9 ｾﾝﾖｳ","    400",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="その他",=" 318.000",=" 242.000",=" 119.000",="   0.009",="   8.500",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="90374-39A017",="",="","BEARING, THRUST NEEDLE ROLLER W/RACE",="1Z",="第１工場",="手配",="Ｐ",="1814",="（株）ジェイテクト",="07",="ＵＫＫ工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 1.94","  1.36"," 1.0","  0.86","  0.86","1.10","0.50",="021",="㈱ジェイテクト",="108",="M-T-1-1",="40023",="1313",="ﾍﾞｱﾘﾝｸﾞｽﾗｽﾄﾆｰﾄﾞﾙﾛｰﾗｰW/ﾚｰｽ",="067",="PT- 9 ｾﾝﾖｳ","    300",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="その他",=" 318.000",=" 242.000",=" 119.000",="   0.009",="  11.500",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35106-0LC040",="",="","PAN SUB-ASSY, TRANSMISSION OIL",="1Z",="第１工場",="手配",="Ｐ",="2017",="佐藤工業（株）",="03",="藤塗装",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 0.29","  1.19"," 4.0","  0.69","  0.69","1.10","0.50",="024",="佐藤工業（株）",="213",="F-S-3-1",="50107",="5132","ﾊﾟﾝS/A,T/Aｵｲﾙ",="018",="TP-342 ﾊﾝﾖｳ","     14",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP342",=" 503.000",=" 335.000",=" 195.000",="   0.033",="   5.270",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35119-0LC010",="",="","COVER, TRANSMISSION HOUSING",="1Z",="第１工場",="手配",="Ｐ",="2017",="佐藤工業（株）",="03",="藤塗装",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 0.29","  1.19"," 3.0","  0.69","  0.69","1.10","0.50",="024",="佐藤工業（株）",="211",="M-S-15-1",="50079",="5397",="ｶﾊﾞｰT/Aﾊｳｼﾞﾝｸﾞ",="018",="TP-342 ﾊﾝﾖｳ","     14",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP342",=" 503.000",=" 335.000",=" 195.000",="   0.033",="   5.270",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35432-0LC040",="",="","PLATE, VALVE BODY",="1Z",="第１工場",="手配",="Ｐ",="2017",="佐藤工業（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","02"," 4.00","  1.62"," 5.0","  1.12","  1.12","1.10","0.50",="024",="佐藤工業（株）",="212",="V-S-5-2",="10104",="2010",="ﾌﾟﾚｰﾄﾊﾞﾙﾌﾞﾎﾞﾃﾞｰ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP131",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   5.480",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="0355 113 017A",="",="","PLUG, CUP",="1Z",="第１工場",="手配",="Ｐ",="2020",="サトープレス工業（株）",="01",="本社工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 1.78","  1.34"," 2.0","  0.84","  0.84","1.10","0.50",="025",="サトープレス工業（株）",="191",="M-T-12-1",="10001",="1132",="ﾌﾟﾗｸﾞｶﾂﾌﾟ",="052",="AW-131 ﾊﾝﾖｳ","   5000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="AW131",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   3.920",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35198-0LC010",="",="","BRACKET, HARNESS CONNECTOR",="1Z",="第１工場",="手配",="Ｐ",="2020",="サトープレス工業（株）",="01",="本社工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 1.78","  1.34"," 4.0","  0.84","  0.84","1.10","0.50",="025",="サトープレス工業（株）",="192",="M-T-3-1",="20009",="9121",="ﾌﾞﾗｹｯﾄﾊｰﾈｽｺﾈｸﾀｰ",="054",="AW-331 ﾊﾝﾖｳ","    300",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="AW331",=" 335.000",=" 335.000",=" 335.000",="   0.038",="   5.480",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35198-0LC020",="",="","BRACKET, WIRE HARNESS CLAMP",="1Z",="第１工場",="手配",="Ｐ",="2020",="サトープレス工業（株）",="01",="本社工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 1.78","  1.34"," 4.0","  0.84","  0.84","1.10","0.50",="025",="サトープレス工業（株）",="193",="M-T-3-2",="20010",="0019",="ﾌﾞﾗｹｯﾄﾜｲﾔｰﾊｰﾈｽｸﾗﾝﾌﾟ",="054",="AW-331 ﾊﾝﾖｳ","    200",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="AW331ﾌﾀﾅｼ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   3.860",="しない",="",="MASTER01",="2023/06/27",="NE00",="１工工務Ｇ",="41943",="伊藤　真和"
="35198-8LA010",="",="","BRACKET, HARNESS CONNECTOR",="1Z",="第１工場",="手配",="Ｐ",="2020",="サトープレス工業（株）",="01",="本社工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 1.78","  1.34"," 4.0","  0.84","  0.84","1.10","0.50",="025",="サトープレス工業（株）",="195",="M-T-3-1",="20508",="1850","ﾌﾞﾗｹﾂﾄ,ECU",="054",="AW-331 ﾊﾝﾖｳ","    300",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="AW331ﾌﾀﾅｼ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   3.860",="しない",="",="MASTER01",="2023/06/27",="NE00",="１工工務Ｇ",="41943",="伊藤　真和"
="35482-0LC010",="",="","CLAMP, TEMPERATURE SENSOR",="1Z",="第１工場",="手配",="Ｐ",="2020",="サトープレス工業（株）",="01",="本社工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 1.78","  1.34"," 4.0","  0.84","  0.84","1.10","0.50",="025",="サトープレス工業（株）",="194",="M-S-11-1",="10085",="0559","ｸﾗﾝﾌﾟ,ﾃﾝﾊﾟｰﾁｬｰｾﾝｻｰ",="052",="AW-131 ﾊﾝﾖｳ","    500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="AW131",=" 335.000",=" 168.000",=" 103.000",="   0.006",="  14.220",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35198-8LA020",="",="","BRACKET, WIRE HARNESS CLAMP",="1Z",="第１工場",="手配",="Ｐ",="2036",="三共鋼業（株）",="01",="東浦南工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 1.78","  1.03"," 3.0","  1.03","  1.03","1.10","0.50",="073",="三共鋼業（株）",="001",="",="",="0019",="ﾌﾞﾗｹｯﾄ ﾜｲﾔｰﾊｰﾈｽｸﾗﾝﾌﾟ",="052",="AW-131 ﾊﾝﾖｳ","    150",="",="",="",="00"," 0.5",="",="",="",="",="",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   3.600",="しない",="",="MASTER01",="2023/02/21",="NE00",="１工工務Ｇ",="44395",="服部　慧佑"
="35198-8LA030",="",="","BRACKET, WIRE HARNESS CLAMP",="1Z",="第１工場",="手配",="Ｐ",="2036",="三共鋼業（株）",="01",="東浦南工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 1.78","  1.03"," 3.0","  1.03","  1.03","1.10","0.50",="073",="三共鋼業（株）",="002",="",="",="0019",="ﾌﾞﾗｹｯﾄ ﾜｲﾔｰﾊｰﾈｽｸﾗﾝﾌﾟ",="054",="AW-331 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="",="",="",="",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   2.900",="しない",="",="MASTER01",="2023/02/21",="NE00",="１工工務Ｇ",="44395",="服部　慧佑"
="35198-8LA040",="",="","BRACKET, WIRE HARNESS CLAMP",="1Z",="第１工場",="手配",="Ｐ",="2036",="三共鋼業（株）",="01",="東浦南工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 1.78","  1.03"," 3.0","  1.03","  1.03","1.10","0.50",="073",="三共鋼業（株）",="003",="",="",="0019",="ﾌﾞﾗｹｯﾄ ﾜｲﾔｰﾊｰﾈｽｸﾗﾝﾌﾟ",="052",="AW-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="",="",="",="",="",="ＴＰ３３１フタナシ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   1.800",="しない",="",="MASTER01",="2023/02/21",="NE00",="１工工務Ｇ",="44395",="服部　慧佑"
="32111-0LC010",="",="","PLATE, DRIVEN",="1Z",="第１工場",="手配",="Ｐ",="2038",="アイシン機工（株）",="01",="刈谷工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 1.31","  1.11"," 8.0","  0.61","  0.61","1.10","0.50",="026",="アイシン機工（株）",="188",="M-S-16-1",="40081",="3431",="ﾌﾟﾚｰﾄﾄﾞﾘﾌﾞﾝ",="069",="ｻﾝﾎﾞﾂｸｽ","      7",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="その他",=" 390.000",=" 500.000",=" 150.000",="   0.029",="  11.680",="しない",="",="MASTER01",="2023/04/24",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="32111-8LA010",="",="","PLATE, DRIVEN",="1Z",="第１工場",="手配",="Ｐ",="2038",="アイシン機工（株）",="01",="刈谷工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 1.31","  1.11"," 8.0","  0.61","  0.61","1.10","0.50",="026",="アイシン機工（株）",="189",="",="",="0620",="ﾌﾟﾚ-ﾄ",="138",="ｻﾝﾎﾞｯｸｽ#23","      7",="",="",="",="00"," 0.5",="",="",="",="",="",="",="ｻﾝﾎﾞｯｸｽ＃23",=" 502.000",=" 387.000",=" 166.000",="   0.032",="  11.680",="しない",="",="MASTER01",="2023/04/24",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35061-0LC010",="",="","HUB SUB-ASSY, ROTOR",="1Z",="第１工場",="手配",="Ｐ",="2041",="（株）アイシン福井",="01",="本社工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","24","19.68","  1.23","16.0","  0.63","  0.63","1.10","0.50",="028",="（株）アイシン福井",="169",="R-S-1-2",="40030",="4149",="ﾊﾌﾞS/Aﾛｰﾀ",="059",="TP-341-5 ｾﾝﾖｳ","      2",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP341.5",=" 503.000",=" 335.000",=" 149.000",="   0.025",="   8.660",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35071-0LC010",="",="","SHAFT SUB-ASSY, HYBRID MODULE INPUT",="1Z",="第１工場",="手配",="Ｐ",="2041",="（株）アイシン福井",="01",="本社工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","24","19.68","  1.23","18.0","  0.63","  0.63","1.10","0.50",="028",="（株）アイシン福井",="170",="M-S-9-1",="30069",="9097",="ｼｬﾌﾄS/AHV/Mｲﾝﾌﾟｯﾄ",="016",="TP-332 ﾊﾝﾖｳ","      4",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP332",=" 335.000",=" 335.000",=" 195.000",="   0.022",="   5.210",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35771-0LC030",="",="","SHAFT, HYBRID MODULE OUTPUT",="1Z",="第１工場",="手配",="Ｐ",="2041",="（株）アイシン福井",="01",="本社工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","24","19.68","  1.23","24.0","  0.63","  0.63","1.10","0.50",="028",="（株）アイシン福井",="168",="R-S-6-1",="30026",="2021",="ｼｬﾌﾄHV/Mｱｳﾄﾌﾟｯﾄ",="056",="TP-331-5 ﾊﾝﾖｳ","      4",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331.5",=" 335.000",=" 335.000",=" 149.000",="   0.017",="   7.480",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35171-0LC010",="",="","COVER, ROTOR",="1Z",="第１工場",="手配",="Ｐ",="2252",="新日工業（株）",="01",="本社工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 4.31","  1.60"," 4.0","  1.10","  1.10","1.10","0.50",="307",="新日工業（株）",="220",="M-S-10-1",="30072",="2318",="ｶﾊﾞｰﾛｰﾀ",="016",="TP-332 ﾊﾝﾖｳ","      8",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP332",=" 335.000",=" 335.000",=" 195.000",="   0.022",="   5.420",="しない",="",="MASTER01",="2023/05/26",="NE00",="１工工務Ｇ",="41943",="伊藤　真和"
="0355 052 005L",="",="","PLUG, W/HEAD STRAIGHT SCREW",="1Z",="第１工場",="手配",="Ｐ",="2408",="（株）杉浦製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","02"," 1.44","  1.38"," 1.0","  0.88","  0.88","1.10","0.50",="030",="（株）杉浦製作所",="122",="F-T-1-5",="20015",="0521",="ﾌﾟﾗｸﾞｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-",="014",="TP-331 ﾊﾝﾖｳ","   2000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331ﾌﾀﾅｼ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  14.500",="しない",="",="MASTER01",="2023/05/26",="NE00",="１工工務Ｇ",="41943",="伊藤　真和"
="2030 113 004A",="",="",="PLUG",="1Z",="第１工場",="手配",="Ｐ",="2411",="アイコー（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","02"," 3.92","  1.72"," 2.0","  1.22","  1.22","1.10","0.50",="031",="アイコー（株）",="167",="V-T-2-1",="10099",="0520",="ﾌﾟﾗｸﾞ",="012",="TP-131 ﾊﾝﾖｳ","   2000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ１３１フタナシ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   3.300",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
