="タイトル：かんばん手配品番一覧"

="ダウンロード日時：2023/07/12 13:19:36"

="手配担当工場：＜第１＞；手配担当整備室：＜第１工場＞；発注区分：＜かんばん＞；手配区分：＜仕入先手配：指定あり；仕入先直送：指定あり；仕入先支給：指定なし；他工場手配：指定なし；受給手配：指定なし；＞;品番上位桁：＜＞；仕入先ｺｰﾄﾞ：＜＞；"

="検索件数：＜  161＞；"
="IX000 処理が正常に完了しました；"

="品番",="加工図符号",="類別",="品名",="整備室",="整備室名",="手配区分",="工程内外製",="工程ｺｰﾄﾞ",="仕入先名/工場名",="発送場所",="発送場所名",="受給区分",="資材区分",="後工程内外製",="後工程ｺｰﾄﾞ",="後工程仕入先名/工場名",="受入場所",="受入場所名",="中継区分",="中継工場",="中継場所",="中継場所名","納入ｻｲｸﾙ.間隔","納入ｻｲｸﾙ.回数","納入ｻｲｸﾙ.情報","基準在庫.日数","基準在庫.枚数","MIN在庫日数","MAX在庫日数","便平均上限振れ率","便平均下限振れ率",="かんばん情報.仕入先",="かんばん情報.仕入先名",="かんばん情報.背番号",="かんばん情報.工場置場所",="かんばん情報.拠点置場所",="かんばん情報.品名略ｺｰﾄﾞ",="かんばん情報.品名略名",="かんばん情報.通箱ｺｰﾄﾞ",="かんばん情報.通箱名","かんばん情報.収容数",="かんばん情報.ｺﾝﾍﾞｱ区分",="かんばん情報.ﾌﾞﾛｯｸ区分",="かんばん情報.専用品区分",="かんばん情報.不良率","かんばん情報.保証率",="かんばん情報.設変符号",="かんばん情報.部品大別区分",="かんばん情報.部品大別名称",="かんばん情報.発注形態区分",="かんばん情報.発注形態名称",="かんばん情報.PLコード",="登録箱種",="縦(mm)",="横(mm)",="高(mm)",="容積(m3)",="総重量(Kg)",="パレタイズ発注",="箱数",="設定計画NO",="設定日",="設定担当部署コード",="担当部署名",="設定担当者コード",="担当者名"
="90119-06A062",="",="","BOLT, W/WASHER",="1Z",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  1.28"," 4.0","  0.78","  0.78","1.10","0.50",="006",="（株）青山製作所",="123",="M-T-10-2",="20007",="1838",="ﾎﾞﾙﾄﾜｯｼｬ",="014",="TP-331 ﾊﾝﾖｳ","   1500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  10.730",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="90119-06A063",="",="","BOLT, W/WASHER",="1Z",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  1.28"," 2.0","  0.78","  0.78","1.10","0.50",="006",="（株）青山製作所",="130",="M-T-11-4",="20078",="1838",="ﾎﾞﾙﾄﾜｯｼｬ",="014",="TP-331 ﾊﾝﾖｳ","   2000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  11.430",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="90119-08A038",="",="","BOLT, FLANGE W/WASHER",="1Z",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  1.28"," 3.0","  0.78","  0.78","1.10","0.50",="006",="（株）青山製作所",="129",="F-T-2-1",="20076",="1843","ﾎﾞﾙﾄ,ﾌﾗﾝｼﾞW/ﾜｯｼｬ",="014",="TP-331 ﾊﾝﾖｳ","    250",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   9.880",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="90149-06A004",="",="",="SCREW",="1Z",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  1.28"," 6.0","  0.78","  0.78","1.10","0.50",="006",="（株）青山製作所",="124",="M-T-10-4",="20013",="2394",="ｽｸﾘﾕ-",="014",="TP-331 ﾊﾝﾖｳ","   3000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  11.330",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="91551-80610",="",="","BOLT, FLANGE",="1Z",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  1.28"," 2.0","  0.78","  0.78","1.10","0.50",="006",="（株）青山製作所",="126",="M-T-11-1",="20018",="1836",="ﾎﾞﾙﾄﾌﾗﾝｼﾞ",="014",="TP-331 ﾊﾝﾖｳ","   2000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  11.230",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35426-0LC010",="",="","PISTON, K-0 CLUTCH",="1Z",="第１工場",="手配",="Ｐ",="0038",="（株）旭工業所",="01",="本社工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 1.88","  1.35"," 4.0","  0.85","  0.85","1.10","0.50",="007",="（株）旭工業所",="115",="R-S-4-1",="30036",="5655",="ﾋﾟｽﾄﾝK-0ｸﾗｯﾁ",="016",="TP-332 ﾊﾝﾖｳ","      9",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP332",=" 335.000",=" 335.000",=" 195.000",="   0.022",="   4.650",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35471-0LC010",="",="","COVER, UPR VALVE BODY",="1Z",="第１工場",="手配",="Ｐ",="0038",="（株）旭工業所",="01",="本社工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 1.88","  1.35"," 5.0","  0.85","  0.85","1.10","0.50",="007",="（株）旭工業所",="117",="V-S-1-1",="30103",="9133",="ｶﾊﾞｰﾊﾞﾙﾌﾞﾎﾞﾃﾞｨｰ",="056",="TP-331-5 ﾊﾝﾖｳ","     45",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331.5",=" 335.000",=" 335.000",=" 149.000",="   0.017",="   8.260",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="35668-0LC020",="",="","BALANCER, CLUTCH, NO.1",="1Z",="第１工場",="手配",="Ｐ",="0038",="（株）旭工業所",="01",="本社工場",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","01"," 1.88","  1.35"," 4.0","  0.85","  0.85","1.10","0.50",="007",="（株）旭工業所",="116",="R-S-5-2",="30040",="0799",="ﾊﾞﾗﾝｻｰｸﾗｯﾁNO.1",="056",="TP-331-5 ﾊﾝﾖｳ","     32",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331.5",=" 335.000",=" 335.000",=" 149.000",="   0.017",="   4.900",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="01912-0LC040",="",="","CAP, SHIPPING",="1Z",="第１工場",="手配",="Ｐ",="0208",="石黒ゴム工業（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","02"," 3.64","  1.68"," 6.0","  1.18","  1.18","1.10","0.50",="010",="石黒ゴム工業（株）",="221",="M-T-16-2",="10114",="9998",="ｷｬｯﾌﾟｼｯﾋﾟﾝｸﾞ",="012",="TP-131 ﾊﾝﾖｳ","    300",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP131",=" 335.000",=" 105.000",=" 105.000",="   0.004",="   0.330",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
="01912-0LC060",="",="","CAP, SHIPPING",="1Z",="第１工場",="手配",="Ｐ",="0208",="石黒ゴム工業（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Z",="安城第１工場",="直接",="",="",="","1","02"," 3.64","  1.68"," 4.0","  1.18","  1.18","1.10","0.50",="010",="石黒ゴム工業（株）",="223",="M-T-17-3",="30116",="9998",="ｷｬｯﾌﾟｼｯﾋﾟﾝｸﾞ",="016",="TP-332 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP332",=" 335.000",=" 335.000",=" 195.000",="   0.022",="   2.000",="しない",="",="MASTER01",="2022/12/12",="NE00",="１工工務Ｇ",="34103",="園　浩一"
