,Unnamed: 0,KUMI_CD,LINE_CD,LINE_SUB_CD,KANRIBAN_CD,LINE_DATE,TYOKU_KBN,OFFICE_HOURS,WORKING_HOURS,LINE_START_TIME,LINE_END_TIME,LINE_STOP_HOURS,MACHINE_STOP_HOURS,HINPATU_STOP_CNT,HINPATU_STOP_TIME,HURYOU_QUANT_CNT,HURYOU_WEIGHT_CNT,TENAOSHI_CNT,HORYUU_CNT,LAST_SERIAL_NO,OPERATION_RATE,SPEC_OPERATION_RATE,OVERALL_EQUIPMENT_EFFICIENCY,TARGET_AVAILABLE_RATE,AVAILABLE_HOURS,KAKO_CNT,AVAILABLE_RATE,HURYOU_RATE,CHOKO_RATE,KANKEN_NG_RATE,SYUTUKEN_NG_RATE,DIRECT_MANHOURS,TOTAL_MANHOURS,TOTAL_TIME,DIRECT_TIME,INDIRECT_TIME,NOTES,KANRIBAN_STAFF_CD,CREATE_STAFF_CD,CREATE_TIME,UPDATE_STAFF_CD,UPDATE_TIME,FIRST_SERIAL_NO,KANSEI_SHOUNIN_STAFF,AUTHOR,PDF_NAME,HUB_CD
1645,358023,B222,ZM8500,A,M01,2023-12-08,2,690,0.0,2023/12/08 22:00:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/08 08:01:26,SYS_TT,2023/12/08 08:15:07,< NULL >,< NULL >,< NULL >,< NULL >,IB000
1646,358024,B222,ZM8500,A,M01,2023-12-09,2,690,0.0,2023/12/09 22:00:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/09 08:01:19,SYS_TT,2023/12/09 08:15:11,< NULL >,< NULL >,< NULL >,< NULL >,IB000
1647,358025,B222,ZM8500,A,M01,2023-12-10,1,750,0.0,2023/12/10 08:30:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/10 08:01:32,SYS_TT,2023/12/10 08:15:07,< NULL >,< NULL >,< NULL >,< NULL >,IB000
1648,358026,B222,ZM8500,A,M01,2023-12-11,1,750,0.0,2023/12/11 08:30:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/11 08:01:15,SYS_TT,2023/12/11 08:15:06,< NULL >,< NULL >,< NULL >,< NULL >,IB000
1649,358027,B222,ZM8500,A,M01,2023-12-12,1,750,0.0,2023/12/12 08:30:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/12 08:01:18,SYS_TT,2023/12/12 08:15:13,< NULL >,< NULL >,< NULL >,< NULL >,IB000
1650,358028,B222,ZM8500,A,M01,2023-12-13,1,750,0.0,2023/12/13 08:30:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/13 08:01:13,SYS_TT,2023/12/13 08:15:13,< NULL >,< NULL >,< NULL >,< NULL >,IB000
1651,358029,B222,ZM8500,A,M01,2023-12-14,1,750,0.0,2023/12/14 08:30:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/14 08:01:49,SYS_TT,2023/12/14 08:15:11,< NULL >,< NULL >,< NULL >,< NULL >,IB000
1652,358030,B222,ZM8500,A,M01,2023-12-15,1,750,0.0,2023/12/15 08:30:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/15 08:01:31,SYS_TT,2023/12/15 08:15:09,< NULL >,< NULL >,< NULL >,< NULL >,IB000
1653,358031,B222,ZM8500,A,M01,2023-12-16,1,750,0.0,2023/12/16 08:30:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/16 08:01:36,SYS_TT,2023/12/16 08:15:07,< NULL >,< NULL >,< NULL >,< NULL >,IB000
1654,358032,B222,ZM8500,A,M01,2023-12-17,2,690,0.0,2023/12/17 22:00:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/12/17 08:01:26,SYS_TT,2023/12/17 08:15:06,< NULL >,< NULL >,< NULL >,< NULL >,IB000
1655,358050,B121,MA8414,A,M01,2023-12-07,1,750,0.0,2023/12/07 08:30:00,2023/12/07 08:30:00,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,32967,M01,2023/12/07 08:01:01,32967,2023/12/08 00:02:24,< NULL >,< NULL >,32967,< NULL >,IB000
